activity_id,parent_id,source_id,assay_id,canonical_molecule_id,canonical_inchikey,exclusion_category,final_modeling_role,exclusion_reason,decision_provenance,molecule_survives_elsewhere,notes
ACT_3260144,PARENT0078,PMID_20303264,ASSY_CHEMBL1112719,CM00281,ILHDWRROLWPCJE-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3260145,PARENT0079,PMID_20303264,ASSY_CHEMBL1112719,CM00089,CIJKWWGOTUIBJB-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3260146,PARENT0080,PMID_20303264,ASSY_CHEMBL1112719,CM00238,HHIKSUGMZSRONC-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3260147,PARENT0081,PMID_20303264,ASSY_CHEMBL1112719,CM00739,VXFLYKWETSEHQD-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3260148,PARENT0082,PMID_20303264,ASSY_CHEMBL1112719,CM00481,NUTZYNZCZPEGHK-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3260149,PARENT0083,PMID_20303264,ASSY_CHEMBL1112719,CM00770,WXJVRYWRJJUUAM-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3260150,PARENT0084,PMID_20303264,ASSY_CHEMBL1112719,CM00728,VTNZEILTURARBQ-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3260151,PARENT0085,PMID_20303264,ASSY_CHEMBL1112719,CM00751,WIWJJEQYHCZEJN-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3260152,PARENT0086,PMID_20303264,ASSY_CHEMBL1112719,CM00121,DDBOMNKUQLLIBU-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3260153,PARENT0087,PMID_20303264,ASSY_CHEMBL1112719,CM00568,QQMHKRBBNSTPEB-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3260154,PARENT0088,PMID_20303264,ASSY_CHEMBL1112719,CM00740,VXVFFFFZJJDWBG-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3260155,PARENT0089,PMID_20303264,ASSY_CHEMBL1112719,CM00166,FLAPGGIPKPXUDP-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3260156,PARENT0090,PMID_20303264,ASSY_CHEMBL1112719,CM00816,XYGZCUVDNQIUGP-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3260157,PARENT0091,PMID_20303264,ASSY_CHEMBL1112719,CM00530,PNBINKNETGHVFJ-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3260158,PARENT0092,PMID_20303264,ASSY_CHEMBL1112719,CM00066,BZOZCYUAJYUGMM-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3260159,PARENT0093,PMID_20303264,ASSY_CHEMBL1112719,CM00683,UOPFFROOWNZTBH-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3260160,PARENT0094,PMID_20303264,ASSY_CHEMBL1112719,CM00626,SDCDPMVLBHJOLH-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3395320,PARENT0095,PMID_18059262,ASSY_CHEMBL1218681,CM00846,ZFSLBQWSGJCDLL-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3395321,PARENT0096,PMID_18059262,ASSY_CHEMBL1218681,CM00655,TVPQYKDHFUUDKK-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3395322,PARENT0097,PMID_18059262,ASSY_CHEMBL1218681,CM00804,XTLOKLFSWDKPNP-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3395323,PARENT0098,PMID_18059262,ASSY_CHEMBL1218681,CM00173,FPRULFHDSFKYBV-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_3501252,PARENT0100,CHEMBLDOC1255557,ASSY_CHEMBL1260778,CM00571,QULRUOVLZAHRKQ-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_calcium; standard_type=Activity; source_kind=database; no numeric endpoint value; excluded from quantitative modeling
ACT_3501256,PARENT0101,CHEMBLDOC1255557,ASSY_CHEMBL1260778,CM00614,RUQIIZGSRSUFTC-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,strict;extended,cat=PAM_functional_calcium; standard_type=Activity; source_kind=database; no numeric endpoint value; excluded from quantitative modeling
