activity_id,parent_id,source_id,assay_id,canonical_molecule_id,canonical_inchikey,exclusion_category,final_modeling_role,exclusion_reason,decision_provenance,molecule_survives_elsewhere,notes
ACT_24343557,PARENT0711,PMID_34710625,ASSY_CHEMBL5030005,CM00676,UKCPDHZBVJICAK-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,strict,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_24343558,PARENT0712,PMID_34710625,ASSY_CHEMBL5030005,CM00299,JAJLCPDGQAWFGV-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,strict,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_24343559,PARENT0713,PMID_34710625,ASSY_CHEMBL5030005,CM00148,FBMFPIZAIJXHCB-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,strict,cat=PAM_functional_calcium; standard_type=%max; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_25073862,PARENT0732,PMID_28197318,ASSY_CHEMBL5253757,CM00599,RKUJNYIUSSLNNZ-SNVBAGLBSA-N,unresolved_primary_review_nonblocking,unresolved_primary_review_nonblocking,unresolved boundary / primary-source issue (RU011),,extended,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; censored endpoint bound; relation preserved; assay-context negative result; same parent has PAM evidence in other assay contexts - not a parent-level inactivity declaration
ACT_25073879,PARENT0463,PMID_28197318,ASSY_CHEMBL5253759,CM00707,VFNHDIWHQGVWLL-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,strict;extended,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_25844262,PARENT0745,PMID_38888621,ASSY_CHEMBL5504441,CM00135,DTCZNKWBDTXEBS-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,strict;extended,cat=other; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_25916995,PARENT0752,PMID_39023902,ASSY_CHEMBL5526934,CM00562,QNJZDYQJWYNYQE-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_Gprotein; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_25916997,PARENT0754,PMID_39023902,ASSY_CHEMBL5526934,CM00432,MNWISPRTXUGZPY-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,extended,cat=PAM_functional_Gprotein; standard_type=Activity; source_kind=primary_article; activity_comment='Not Determined'; excluded from quantitative modeling
ACT_25916999,PARENT0756,PMID_39023902,ASSY_CHEMBL5526934,CM00058,BSSJIWBUENLOAR-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_Gprotein; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_25917001,PARENT0758,PMID_39023902,ASSY_CHEMBL5526934,CM00529,PMPFEXWNVQVZDW-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_Gprotein; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
