activity_id,measurement_group_id,fc1_measurement_group_id,replicate_count,representation_count,measurement_representation_type,aggregation_method,aggregated_pEC50,aggregated_EC50_nM,canonical_molecule_id,parent_id,source_id,assay_id,assay_family,readout,cell_system,orthosteric_agonist,agonist_conc_or_ecxx,endpoint_type,endpoint_relation,potency_nM,pEC50,receptor_species,final_species_valid,final_identity_valid,potency_regression_eligible,unit_human_decision,row_human_decision,identity_decision,decision_provenance,divergent_duplicate_classification,divergent_duplicate_disposition,notes
ACT_12628033,MG00041,MG00041,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.5114,308.03,CM00074,PARENT0199,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,309.03,6.51,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.51 (generic negative-log potency)
ACT_12628034,MG00256,MG00256,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.5396,288.67,CM00465,PARENT0200,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,288.4,6.54,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.54 (generic negative-log potency)
ACT_12628035,MG00300,MG00300,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.6479,224.96,CM00554,PARENT0201,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,223.87,6.65,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.65 (generic negative-log potency)
ACT_12628036,MG00326,MG00326,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.8313,147.47,CM00600,PARENT0202,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,147.91,6.83,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.83 (generic negative-log potency)
ACT_12628037,MG00369,MG00369,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,5.6984,2002.63,CM00680,PARENT0203,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,1995.26,5.7,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.7 (generic negative-log potency)
ACT_12628038,MG00286,MG00286,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.282,52.24,CM00524,PARENT0204,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,52.48,7.28,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.28 (generic negative-log potency)
ACT_12628042,MG00315,MG00315,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,5.7585,1743.81,CM00588,PARENT0206,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,1737.8,5.76,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.76 (generic negative-log potency)
ACT_12628043,MG00345,MG00345,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.6019,250.09,CM00640,PARENT0207,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,251.19,6.6,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.6 (generic negative-log potency)
ACT_12628044,MG00289,MG00289,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.7474,178.9,CM00532,PARENT0208,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,177.83,6.75,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.75 (generic negative-log potency)
ACT_12628045,MG00350,MG00350,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.9815,104.35,CM00647,PARENT0209,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,104.71,6.98,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.98 (generic negative-log potency)
ACT_12628046,MG00368,MG00368,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.8029,157.43,CM00679,PARENT0210,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,154.88,6.81,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.81 (generic negative-log potency)
ACT_12628047,MG00362,MG00362,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.8029,157.43,CM00669,PARENT0211,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,154.88,6.81,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.81 (generic negative-log potency)
ACT_12628048,MG00288,MG00288,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.9683,107.57,CM00531,PARENT0212,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,107.15,6.97,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.97 (generic negative-log potency)
ACT_12628049,MG00026,MG00026,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.0935,80.63,CM00046,PARENT0213,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,81.28,7.09,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.09 (generic negative-log potency)
ACT_12628050,MG00342,MG00342,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.4884,324.79,CM00633,PARENT0214,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,323.59,6.49,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.49 (generic negative-log potency)
ACT_12628051,MG00089,MG00089,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.0908,811.33,CM00155,PARENT0215,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,812.83,6.09,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.09 (generic negative-log potency)
ACT_12628052,MG00340,MG00340,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.5685,270.08,CM00630,PARENT0216,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,269.15,6.57,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.57 (generic negative-log potency)
ACT_12628053,MG00381,MG00381,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.5308,294.58,CM00701,PARENT0217,PMID_23177787,ASSY_CHEMBL2320373,calcium,PAM_functional_calcium,CHO-K1,acetylcholine,,EC50,=,295.12,6.53,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.53 (generic negative-log potency)
