activity_id,measurement_group_id,fc1_measurement_group_id,replicate_count,representation_count,measurement_representation_type,aggregation_method,aggregated_pEC50,aggregated_EC50_nM,canonical_molecule_id,parent_id,source_id,assay_id,assay_family,readout,cell_system,orthosteric_agonist,agonist_conc_or_ecxx,endpoint_type,endpoint_relation,potency_nM,pEC50,receptor_species,final_species_valid,final_identity_valid,potency_regression_eligible,unit_human_decision,row_human_decision,identity_decision,decision_provenance,divergent_duplicate_classification,divergent_duplicate_disposition,notes
ACT_18137893,MG00138,MG00138,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.5131,306.83,CM00250,PARENT0320,PMID_28442253,ASSY_CHEMBL4030176,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,319.0,6.4962,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.5 (generic negative-log potency)
ACT_18137894,MG00132,MG00132,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.6523,222.69,CM00242,PARENT0321,PMID_28442253,ASSY_CHEMBL4030176,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,213.8,6.67,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.67 (generic negative-log potency)
ACT_18137895,MG00132,MG00132,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.6523,222.69,CM00242,PARENT0321,PMID_28442253,ASSY_CHEMBL4030176,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,232.0,6.6345,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.63 (generic negative-log potency)
ACT_18137897,MG00461,MG00461,1,1,divergent_duplicate_resolved_single_value,single,6.9872,103.0,CM00848,PARENT0322,PMID_28442253,ASSY_CHEMBL4030176,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,103.0,6.9872,Homo sapiens,yes,yes,yes,,,,fc1_divergent_duplicate_reconciliation.csv:MG00461,A_correct_value_identified,keep_single_correct_measurement,"cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.99 (generic negative-log potency) | MG00461: preferred value ACT_18137897 = 103.0 nM (pEC50 6.9872), corroborated by primary narrative; rejected representation ACT_18137896 (pEC50 7.20 / 63.1 nM) preserved in provenance only"
ACT_18137898,MG00258,MG00258,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.5068,31.13,CM00467,PARENT0323,PMID_28442253,ASSY_CHEMBL4030176,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,26.92,7.5699,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.57 (generic negative-log potency)
ACT_18137899,MG00258,MG00258,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.5068,31.13,CM00467,PARENT0323,PMID_28442253,ASSY_CHEMBL4030176,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,36.0,7.4437,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.44 (generic negative-log potency)
ACT_18137900,MG00212,MG00212,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.2559,55.48,CM00391,PARENT0324,PMID_28442253,ASSY_CHEMBL4030176,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,54.95,7.26,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.26 (generic negative-log potency)
ACT_18137901,MG00212,MG00212,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.2559,55.48,CM00391,PARENT0324,PMID_28442253,ASSY_CHEMBL4030176,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,56.0,7.2518,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.25 (generic negative-log potency)
ACT_18137904,MG00094,MG00094,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.0779,83.58,CM00165,PARENT0326,PMID_28442253,ASSY_CHEMBL4030176,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,83.18,7.08,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.08 (generic negative-log potency)
ACT_18137905,MG00094,MG00094,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.0779,83.58,CM00165,PARENT0326,PMID_28442253,ASSY_CHEMBL4030176,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,84.0,7.0757,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.08 (generic negative-log potency)
ACT_18137906,MG00364,MG00364,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.6541,221.77,CM00671,PARENT0327,PMID_28442253,ASSY_CHEMBL4030176,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,213.8,6.67,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.67 (generic negative-log potency)
ACT_18137907,MG00364,MG00364,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.6541,221.77,CM00671,PARENT0327,PMID_28442253,ASSY_CHEMBL4030176,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,230.0,6.6383,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.64 (generic negative-log potency)
ACT_18137908,MG00230,MG00230,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.2733,53.3,CM00415,PARENT0328,PMID_28442253,ASSY_CHEMBL4030176,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,48.98,7.31,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.31 (generic negative-log potency)
ACT_18137909,MG00230,MG00230,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.2733,53.3,CM00415,PARENT0328,PMID_28442253,ASSY_CHEMBL4030176,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,58.0,7.2366,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.24 (generic negative-log potency)
ACT_18137910,MG00375,MG00375,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,5.7877,1630.42,CM00689,PARENT0329,PMID_28442253,ASSY_CHEMBL4030176,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,1548.82,5.81,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.81 (generic negative-log potency)
ACT_18137911,MG00375,MG00375,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,5.7877,1630.42,CM00689,PARENT0329,PMID_28442253,ASSY_CHEMBL4030176,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,1716.0,5.7655,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.76 (generic negative-log potency)
ACT_18137912,MG00125,MG00125,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.1969,63.55,CM00227,PARENT0330,PMID_28442253,ASSY_CHEMBL4030176,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,63.1,7.2,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.2 (generic negative-log potency)
ACT_18137913,MG00125,MG00125,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.1969,63.55,CM00227,PARENT0330,PMID_28442253,ASSY_CHEMBL4030176,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,64.0,7.1938,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.19 (generic negative-log potency)
ACT_18137914,MG00250,MG00250,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.8408,144.28,CM00454,PARENT0331,PMID_28442253,ASSY_CHEMBL4030176,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,144.54,6.84,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.84 (generic negative-log potency)
ACT_18137915,MG00250,MG00250,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.8408,144.28,CM00454,PARENT0331,PMID_28442253,ASSY_CHEMBL4030176,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,144.0,6.8416,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.84 (generic negative-log potency)
ACT_18137916,MG00088,MG00088,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.0563,878.42,CM00154,PARENT0332,PMID_28442253,ASSY_CHEMBL4030176,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,776.25,6.11,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.11 (generic negative-log potency)
ACT_18137917,MG00088,MG00088,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.0563,878.42,CM00154,PARENT0332,PMID_28442253,ASSY_CHEMBL4030176,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,994.0,6.0026,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6 (generic negative-log potency)
ACT_18137918,MG00032,MG00032,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.0405,91.1,CM00055,PARENT0333,PMID_28442253,ASSY_CHEMBL4030176,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,91.2,7.04,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.04 (generic negative-log potency)
ACT_18137919,MG00032,MG00032,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.0405,91.1,CM00055,PARENT0333,PMID_28442253,ASSY_CHEMBL4030176,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,91.0,7.041,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.04 (generic negative-log potency)
ACT_18160824,MG00354,MG00354,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.5314,29.42,CM00656,PARENT0334,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,28.84,7.54,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.54 (generic negative-log potency)
ACT_18160825,MG00087,MG00087,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.4609,34.6,CM00152,PARENT0335,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,37.0,7.4318,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.43 (generic negative-log potency)
ACT_18160826,MG00087,MG00087,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.4609,34.6,CM00152,PARENT0335,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,32.36,7.49,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.49 (generic negative-log potency)
ACT_18160827,MG00248,MG00248,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.5591,275.99,CM00451,PARENT0336,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,325.0,6.4881,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.49 (generic negative-log potency)
ACT_18160828,MG00248,MG00248,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.5591,275.99,CM00451,PARENT0336,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,234.42,6.63,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.63 (generic negative-log potency)
ACT_18160829,MG00037,MG00037,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.0298,933.68,CM00064,PARENT0337,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,934.0,6.0297,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.03 (generic negative-log potency)
ACT_18160830,MG00037,MG00037,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.0298,933.68,CM00064,PARENT0337,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,933.25,6.03,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.03 (generic negative-log potency)
ACT_18160831,MG00081,MG00081,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,5.8949,1273.8,CM00138,PARENT0338,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,1289.0,5.8897,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.89 (generic negative-log potency)
ACT_18160832,MG00081,MG00081,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,5.8949,1273.8,CM00138,PARENT0338,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,1258.93,5.9,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=5.9 (generic negative-log potency)
ACT_18160833,MG00450,MG00450,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.8654,136.33,CM00835,PARENT0339,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,141.0,6.8508,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.85 (generic negative-log potency)
ACT_18160834,MG00450,MG00450,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.8654,136.33,CM00835,PARENT0339,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,131.83,6.88,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.88 (generic negative-log potency)
ACT_18160835,MG00327,MG00327,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.5499,281.9,CM00601,PARENT0340,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,282.0,6.5498,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.55 (generic negative-log potency)
ACT_18160836,MG00327,MG00327,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.5499,281.9,CM00601,PARENT0340,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,281.84,6.55,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.55 (generic negative-log potency)
ACT_18160837,MG00199,MG00199,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.5564,27.77,CM00374,PARENT0341,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,28.0,7.5528,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.55 (generic negative-log potency)
ACT_18160838,MG00199,MG00199,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.5564,27.77,CM00374,PARENT0341,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,27.54,7.56,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.56 (generic negative-log potency)
ACT_18160839,MG00317,MG00317,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.606,24.77,CM00590,PARENT0342,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,25.0,7.6021,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.6 (generic negative-log potency)
ACT_18160840,MG00317,MG00317,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.606,24.77,CM00590,PARENT0342,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,24.55,7.6099,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.61 (generic negative-log potency)
ACT_18160841,MG00188,MG00188,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.9642,10.86,CM00353,PARENT0343,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,11.0,7.9586,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.96 (generic negative-log potency)
ACT_18160842,MG00188,MG00188,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.9642,10.86,CM00353,PARENT0343,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,10.72,7.9698,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.97 (generic negative-log potency)
ACT_18160843,MG00370,MG00370,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,8.0935,8.06,CM00681,PARENT0344,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,8.0,8.0969,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=8.1 (generic negative-log potency)
ACT_18160844,MG00370,MG00370,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,8.0935,8.06,CM00681,PARENT0344,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,8.128,8.09,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=8.09 (generic negative-log potency)
ACT_18160845,MG00379,MG00379,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.2962,50.56,CM00696,PARENT0345,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,51.0,7.2924,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.29 (generic negative-log potency)
ACT_18160846,MG00379,MG00379,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.2962,50.56,CM00696,PARENT0345,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,50.12,7.3,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.3 (generic negative-log potency)
ACT_18160847,MG00005,MG00005,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.7664,171.24,CM00012,PARENT0346,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,185.0,6.7328,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.73 (generic negative-log potency)
ACT_18160848,MG00005,MG00005,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,6.7664,171.24,CM00012,PARENT0346,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,158.49,6.8,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=6.8 (generic negative-log potency)
ACT_18160849,MG00264,MG00264,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.8029,15.74,CM00478,PARENT0347,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,16.0,7.7959,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.8 (generic negative-log potency)
ACT_18160850,MG00264,MG00264,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.8029,15.74,CM00478,PARENT0347,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,15.49,7.8099,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.81 (generic negative-log potency)
ACT_18160851,MG00353,MG00353,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.7698,16.99,CM00651,PARENT0348,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,17.0,7.7696,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.77 (generic negative-log potency)
ACT_18160852,MG00353,MG00353,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.7698,16.99,CM00651,PARENT0348,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,16.98,7.7701,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.77 (generic negative-log potency)
ACT_18160855,MG00031,MG00031,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.1196,75.93,CM00054,PARENT0350,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,76.0,7.1192,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.12 (generic negative-log potency)
ACT_18160856,MG00031,MG00031,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.1196,75.93,CM00054,PARENT0350,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,75.86,7.12,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.12 (generic negative-log potency)
ACT_18160859,MG00184,MG00184,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.4501,35.47,CM00342,PARENT0352,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,38.0,7.4202,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.42 (generic negative-log potency)
ACT_18160860,MG00184,MG00184,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.4501,35.47,CM00342,PARENT0352,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,33.11,7.48,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.48 (generic negative-log potency)
ACT_18160861,MG00254,MG00254,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.3986,39.94,CM00463,PARENT0353,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,41.0,7.3872,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.39 (generic negative-log potency)
ACT_18160862,MG00254,MG00254,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.3986,39.94,CM00463,PARENT0353,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,38.9,7.4101,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.41 (generic negative-log potency)
ACT_18160863,MG00215,MG00215,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.119,76.03,CM00402,PARENT0354,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,78.0,7.1079,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.11 (generic negative-log potency)
ACT_18160864,MG00215,MG00215,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.119,76.03,CM00402,PARENT0354,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,74.13,7.13,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.13 (generic negative-log potency)
ACT_18160865,MG00054,MG00054,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.4743,33.55,CM00097,PARENT0355,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,34.0,7.4685,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.47 (generic negative-log potency)
ACT_18160866,MG00054,MG00054,2,2,rounding_or_pEC50_conversion_duplicate,log_mean_pEC50,7.4743,33.55,CM00097,PARENT0355,PMID_28522253,ASSY_CHEMBL4035868,calcium,PAM_functional_calcium,,acetylcholine,,EC50,=,33.11,7.48,Homo sapiens,yes,yes,yes,,,,,,,cat=PAM_functional_calcium; standard_type=EC50; source_kind=primary_article; legacy pEC50=7.48 (generic negative-log potency)
