assay_id,chembl_assay_id,assay_name,source_ids,receptor_species,receptor_construct,cell_system,readout,assay_family,functional_or_binding,orthosteric_agonist,agonist_conc_or_ecxx,pam_relevant,n_activities,n_core_activities,n_exact_potency_activities,normalization_notes
ASSY_CHEMBL5623673,CHEMBL5623673,Positive allosteric modulation at human M4 mAChR expressed in Flp-In-CHO cells assessed as increase in ERK1/2 phosphorylation at 10 uM incubated for 5 mins by Western blot analysis,PMID_37423123,Homo sapiens,,Flp-In-CHO,PAM_functional_ERK,ERK,functional,acetylcholine,,True,3,0,0,
ASSY_CHEMBL6085967,CHEMBL6085967,Positive allosteric modulator activity at human recombinant M4 muscarinic acetylcholine receptor assessed as fold shift in acetylcholine EC50 for calcium mobilization at 1 uM preincubated for 7 mins followed by acetylcholine addition and measured for 180 secs by FLIPR analysis,PMID_39463278,Homo sapiens,,,PAM_functional_calcium,calcium,functional,acetylcholine,,True,1,0,0,
ASSY_CHEMBL6085998,CHEMBL6085998,Positive allosteric modulator activity at human recombinant M4 muscarinic acetylcholine receptor assessed as fold shift in acetylcholine EC50 for calcium mobilization at 10 uM preincubated for 7 mins followed by acetylcholine addition and measured for 180 secs by FLIPR analysis,PMID_39463278,Homo sapiens,,,PAM_functional_calcium,calcium,functional,acetylcholine,,True,1,0,0,
ASSY_CHEMBL744006,CHEMBL744006,Cooperativity with NMS at human muscarinic acetylcholine receptor M4,PMID_9986715,Homo sapiens,,,binding_cooperativity,binding/cooperativity,binding,acetylcholine,,True,24,0,0,
ASSY_CHEMBL744007,CHEMBL744007,Cooperativity with acetylcholine at human muscarinic acetylcholine receptor M4,PMID_9986715,Homo sapiens,,,binding_cooperativity,binding/cooperativity,binding,acetylcholine,,True,24,0,0,
ASSY_CHEMBL744008,CHEMBL744008,Subtype selectivity and the cooperativity with N-methyl Scopolamine (NMS) at Muscarinic acetylcholine receptor M4,PMID_11881995,Homo sapiens,,,binding_cooperativity,binding/cooperativity,binding,acetylcholine,,True,7,0,0,
ASSY_CHEMBL744009,CHEMBL744009,Subtype selectivity and the cooperativity with N-methyl Scopolamine (NMS) at Muscarinic acetylcholine receptor M4; Activity range is 0.2-0.8,PMID_11881995,Homo sapiens,,,binding_cooperativity,binding/cooperativity,binding,acetylcholine,,True,5,0,0,
ASSY_CHEMBL744010,CHEMBL744010,Subtype selectivity and the cooperativity with N-methyl Scopolamine (NMS) at Muscarinic acetylcholine receptor M4; Activity range is 0.81-1.19,PMID_11881995,Homo sapiens,,,binding_cooperativity,binding/cooperativity,binding,acetylcholine,,True,6,0,0,
ASSY_CHEMBL744211,CHEMBL744211,Subtype selectivity and the cooperativity with N-methyl Scopolamine (NMS) at Muscarinic acetylcholine receptor M4; activity range is 0.2-0.8.,PMID_11881995,Homo sapiens,,,binding_cooperativity,binding/cooperativity,binding,acetylcholine,,True,1,0,0,
ASSY_CHEMBL744212,CHEMBL744212,Subtype selectivity and the cooperativity with N-methyl Scopolamine (NMS) at Muscarinic acetylcholine receptor M4; Activity range is 0.2-0.8,PMID_11881995,Homo sapiens,,,binding_cooperativity,binding/cooperativity,binding,acetylcholine,,True,1,0,0,
ASSY_CHEMBL744213,CHEMBL744213,Subtype selectivity and the cooperativity with N-methyl Scopolamine (NMS) at Muscarinic acetylcholine receptor M4; Activity range is 0.81-1.19,PMID_11881995,Homo sapiens,,,binding_cooperativity,binding/cooperativity,binding,acetylcholine,,True,1,0,0,
ASSY_CHEMBL745912,CHEMBL745912,Subtype selectivity and the cooperativity with N-methyl Scopolamine (NMS) at Muscarinic acetylcholine receptor M4; Activity range is 081-1.19,PMID_11881995,Homo sapiens,,,binding_cooperativity,binding/cooperativity,binding,acetylcholine,,True,1,0,0,
ASSY_CHEMBL745913,CHEMBL745913,Subtype selectivity and cooperativity with N-methyl Scopolamine (NMS) at Muscarinic acetylcholine receptor M4; Activity range is 1.2-3,PMID_11881995,Homo sapiens,,,binding_cooperativity,binding/cooperativity,binding,acetylcholine,,True,13,0,0,
ASSY_CHEMBL745914,CHEMBL745914,Subtype selectivity and the cooperativity with N-methyl Scopolamine (NMS) at Muscarinic acetylcholine receptor M4; Activity range is 1.2-3,PMID_11881995,Homo sapiens,,,binding_cooperativity,binding/cooperativity,binding,acetylcholine,,True,1,0,0,
