assay_id,chembl_assay_id,assay_name,source_ids,receptor_species,receptor_construct,cell_system,readout,assay_family,functional_or_binding,orthosteric_agonist,agonist_conc_or_ecxx,pam_relevant,n_activities,n_core_activities,n_exact_potency_activities,normalization_notes
ASSY_CHEMBL4046910,CHEMBL4046910,Positive allosteric modulation of human M4 receptor expressed in CHO cells co-expressing Gqi5 assessed as increase in acetylcholine-induced calcium mobilization,PMID_28866269,Homo sapiens,,,PAM_functional_calcium,calcium,functional,acetylcholine,,True,59,59,54,
ASSY_CHEMBL4046912,CHEMBL4046912,Positive allosteric modulation of human M4 receptor expressed in CHO cells co-expressing Gqi5 assessed as increase in acetylcholine-induced calcium mobilization relative to acetylcholine,PMID_28866269,Homo sapiens,,,PAM_functional_calcium,calcium,functional,acetylcholine,,True,28,0,0,
ASSY_CHEMBL4180723,CHEMBL4180723,Positive allosteric modulation of human M4 receptor expressed in CHO cells co-expressing Gqi5 assessed as increase in acetylcholine-induced calcium mobilization,PMID_29089231,Homo sapiens,,CHO,PAM_functional_calcium,calcium,functional,acetylcholine,,True,47,47,41,
ASSY_CHEMBL4180724,CHEMBL4180724,Positive allosteric modulation of human M4 receptor expressed in CHO cells co-expressing Gqi5 assessed as increase in acetylcholine-induced calcium mobilization relative to acetylcholine,PMID_29089231,Homo sapiens,,CHO,PAM_functional_calcium,calcium,functional,acetylcholine,,True,24,0,0,
ASSY_CHEMBL4194319,CHEMBL4194319,Positive allosteric modulation of human muscarinic acetylcholine receptor M4 expressed in CHOK1 cells assessed as increase in acetylcholine-induced inositol phosphate accumulation preincubated for 4 mins followed by acetylcholine addition measured for 3.5 mins by FLIPR assay,PMID_28947932,Homo sapiens,,,PAM_functional_calcium,calcium,functional,acetylcholine,,True,9,0,0,
ASSY_CHEMBL4199646,CHEMBL4199646,Positive allosteric modulation of human muscarinic acetylcholine receptor M4 expressed in CHO cells,PMID_30034595,Homo sapiens,,CHO,PAM_functional_unspecified,unspecified,functional,acetylcholine,,True,1,0,0,
ASSY_CHEMBL4200443,CHEMBL4200443,Positive allosteric modulation of human muscarinic acetylcholine receptor M4 expressed in CHO-K1 cells coexpressing Galphaqi5 assessed as increase in acetylcholine-induced IP accumulation incubated for 16 to 20 hrs measured for 3.5 to 4 mins by FLIPR assay,PMID_30128067,Homo sapiens,,CHO-K1,PAM_functional_calcium,calcium,functional,acetylcholine,,True,12,0,0,
ASSY_CHEMBL4237199,CHEMBL4237199,Positive allosteric modulation of human M4 receptor expressed in CHO cells co-expressing Gqi5 assessed as increase in acetylcholine-induced calcium mobilization pretreated for 2.5 mins followed by acetylcholine addition and measured after 1 min by Fluo-4-AM dye based assay,PMID_30258541,Homo sapiens,,CHO,PAM_functional_calcium,calcium,functional,acetylcholine,,True,1,0,0,
ASSY_CHEMBL4306810,CHEMBL4306810,Positive allosteric modulatory activity at human Muscarinic acetylcholine receptor M4 expressed in HEK cells co-expressing Glosensor construct assessed as as increase in acteylcholine-induced cAMP accumulation incubated for 7 mins in presence of isoproterenol/acetylcholine by Glosensor cAMP reagent/plate reader based luminescence assay,PMID_31223452,Homo sapiens,,,PAM_functional_cAMP,cAMP,functional,acetylcholine,,True,15,0,0,
ASSY_CHEMBL4306814,CHEMBL4306814,Positive allosteric modulatory activity at human Muscarinic acetylcholine receptor M4 expressed in HEK cells co-expressing Glosensor construct assessed as as increase in acteylcholine-induced cAMP accumulation at 10 uM to 0.3 nM incubated for 7 mins in presence of isoproterenol/acetylcholine by Glosensor cAMP reagent/plate reader based luminescence assay relative to acetylcholine,PMID_31223452,Homo sapiens,,,PAM_functional_cAMP,cAMP,functional,acetylcholine,,True,5,0,0,
ASSY_CHEMBL4309931,CHEMBL4309931,Positive allosteric modulation of human M4 AchR expressed in CHO cells assessed as increase in acteylcholine-induced calcium mobilization by FLIPR assay,PMID_30106578,Homo sapiens,,CHO,PAM_functional_calcium,calcium,functional,acetylcholine,,True,1,0,0,
ASSY_CHEMBL4309933,CHEMBL4309933,Positive allosteric modulation of human M4 AchR,PMID_30106578,Homo sapiens,,,PAM_functional_unspecified,unspecified,functional,acetylcholine,,True,1,0,0,
