canonical_molecule_id,canonical_inchikey,canonical_smiles,canonical_inchi,identity_status,canonical_representative_parent_id,all_parent_ids,all_chembl_ids,all_names,all_aliases,identity_decision,identity_decision_provenance,member_notes,modeling_eligibility_note,collision_report
CM00838,YXSXJXJDXIKPIP-UHFFFAOYSA-N,COc1ccc(C)c2sc(NC(=O)CCc3ccccc3)nc12,"InChI=1S/C18H18N2O2S/c1-12-8-10-14(22-2)16-17(12)23-18(20-16)19-15(21)11-9-13-6-4-3-5-7-13/h3-8,10H,9,11H2,1-2H3,(H,19,20,21)",confirmed_structure,PARENT0124,PARENT0124,CHEMBL2057393,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0124:chembl=CHEMBL2057393,class=other_context",,
CM00839,YYEACDLFCFHRFH-UHFFFAOYSA-N,Cc1c(Cl)nnc2sc(C(=O)NC3CN(c4ccc(C5CC5)nn4)C3)c(N)c12,"InChI=1S/C18H18ClN7OS/c1-8-13-14(20)15(28-18(13)25-24-16(8)19)17(27)21-10-6-26(7-10)12-5-4-11(22-23-12)9-2-3-9/h4-5,9-10H,2-3,6-7,20H2,1H3,(H,21,27)",confirmed_structure,PARENT0658,PARENT0658,CHEMBL4743571,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0658:chembl=CHEMBL4743571,class=pure_PAM",,
CM00840,YYPQFWYTHFCMBP-UHFFFAOYSA-N,COc1ccc(CNC(=O)c2sc3c(c(C)cc4nc(C)nn43)c2N)cc1,"InChI=1S/C19H19N5O2S/c1-10-8-14-22-11(2)23-24(14)19-15(10)16(20)17(27-19)18(25)21-9-12-4-6-13(26-3)7-5-12/h4-8H,9,20H2,1-3H3,(H,21,25)",confirmed_structure,PARENT0519,PARENT0519,CHEMBL4468120,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0519:chembl=CHEMBL4468120,class=pure_PAM",,
CM00841,YZFWKSOATWRFKV-LBPRGKRZSA-N,Cc1c(Cl)c2nncn2c2sc(C(=O)N[C@H]3CCc4ccccc43)c(N)c12,"InChI=1S/C19H16ClN5OS/c1-9-13-15(21)16(27-19(13)25-8-22-24-17(25)14(9)20)18(26)23-12-7-6-10-4-2-3-5-11(10)12/h2-5,8,12H,6-7,21H2,1H3,(H,23,26)/t12-/m0/s1",confirmed_structure,PARENT0494,PARENT0494,CHEMBL4439440,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0494:chembl=CHEMBL4439440,class=pure_PAM",,
CM00842,ZCOXCLBONKFIOZ-UHFFFAOYSA-N,Cc1cc(C)c2c(n1)CN(C(=O)CC1CN(c3ccnc(OC(F)F)c3)C1)C2,"InChI=1S/C20H22F2N4O2/c1-12-5-13(2)24-17-11-26(10-16(12)17)19(27)6-14-8-25(9-14)15-3-4-23-18(7-15)28-20(21)22/h3-5,7,14,20H,6,8-11H2,1-2H3",confirmed_structure,PARENT0747,PARENT0747,CHEMBL5558931,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0747:chembl=CHEMBL5558931,class=pure_PAM",,
CM00843,ZDBJDPYPGFKZRT-UHFFFAOYSA-N,Cc1cc(C)c2c(N)c(C(=O)NCc3ccc(F)cc3)sc2n1,"InChI=1S/C17H16FN3OS/c1-9-7-10(2)21-17-13(9)14(19)15(23-17)16(22)20-8-11-3-5-12(18)6-4-11/h3-7H,8,19H2,1-2H3,(H,20,22)",confirmed_structure,PARENT0258,PARENT0258,CHEMBL2435356,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0258:chembl=CHEMBL2435356,class=pure_PAM",,
CM00844,ZDIJNVADPIDMHN-UHFFFAOYSA-N,Cc1c2c(N)c(C(=O)NC3CN(c4cc(Cl)ncc4Cl)C3)ccc2nn1C,"InChI=1S/C18H18Cl2N6O/c1-9-16-13(24-25(9)2)4-3-11(17(16)21)18(27)23-10-7-26(8-10)14-5-15(20)22-6-12(14)19/h3-6,10H,7-8,21H2,1-2H3,(H,23,27)",confirmed_structure,PARENT0634,PARENT0634,CHEMBL4632962,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0634:chembl=CHEMBL4632962,class=pure_PAM",,
CM00845,ZDZFPDPMBCBBKH-UHFFFAOYSA-N,COc1ccc(CNC(=O)c2sc3nnc(C)c(C)c3c2N)c(F)c1,"InChI=1S/C17H17FN4O2S/c1-8-9(2)21-22-17-13(8)14(19)15(25-17)16(23)20-7-10-4-5-11(24-3)6-12(10)18/h4-6H,7,19H2,1-3H3,(H,20,23)",confirmed_structure,PARENT0724,PARENT0724,CHEMBL5272517,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0724:chembl=CHEMBL5272517,class=pure_PAM",,
CM00846,ZFSLBQWSGJCDLL-UHFFFAOYSA-N,Cc1cc(C)c2c(N)c(C(=O)NC(C)C)sc2n1,"InChI=1S/C13H17N3OS/c1-6(2)15-12(17)11-10(14)9-7(3)5-8(4)16-13(9)18-11/h5-6H,14H2,1-4H3,(H,15,17)",confirmed_structure,PARENT0095,PARENT0095,CHEMBL1212982,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0095:chembl=CHEMBL1212982,class=other_context",,
CM00847,ZIFWTZSLHLXCAC-UHFFFAOYSA-N,COc1ccc(C)c2sc(NC(=O)c3cnccn3)nc12,"InChI=1S/C14H12N4O2S/c1-8-3-4-10(20-2)11-12(8)21-14(17-11)18-13(19)9-7-15-5-6-16-9/h3-7H,1-2H3,(H,17,18,19)",confirmed_structure,PARENT0125,PARENT0125,CHEMBL2057394,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0125:chembl=CHEMBL2057394,class=weak_PAM",,
CM00848,ZITQIRVMKWVRQP-UHFFFAOYSA-N,Cc1nnc2sc(C(=O)NCc3ccc(-c4cccnc4)cc3)c(N)c2c1C,"InChI=1S/C21H19N5OS/c1-12-13(2)25-26-21-17(12)18(22)19(28-21)20(27)24-10-14-5-7-15(8-6-14)16-4-3-9-23-11-16/h3-9,11H,10,22H2,1-2H3,(H,24,27)",confirmed_structure,PARENT0322,PARENT0322,CHEMBL4097819,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0322:chembl=CHEMBL4097819,class=pure_PAM",,
CM00849,ZJUBSMWYIJGFHD-URXFXBBRSA-N,C[C@H]1CCCC[C@@H]1NC(=O)c1cc(CN2CCC(C#N)(c3ccccn3)CC2)c2ccccn2c1=O,"InChI=1S/C29H33N5O2/c1-21-8-2-3-9-24(21)32-27(35)23-18-22(25-10-5-7-15-34(25)28(23)36)19-33-16-12-29(20-30,13-17-33)26-11-4-6-14-31-26/h4-7,10-11,14-15,18,21,24H,2-3,8-9,12-13,16-17,19H2,1H3,(H,32,35)/t21-,24-/m0/s1",confirmed_structure,PARENT0174,PARENT0174,CHEMBL2204297,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0174:chembl=CHEMBL2204297,class=other_context",,
CM00850,ZKUOSIUZGCMGMZ-UHFFFAOYSA-N,Cc1nc2sc3c(NCc4ccc(OC(F)F)cc4)nncc3c2c(C)c1Cl,"InChI=1S/C19H15ClF2N4OS/c1-9-14-13-8-24-26-17(16(13)28-18(14)25-10(2)15(9)20)23-7-11-3-5-12(6-4-11)27-19(21)22/h3-6,8,19H,7H2,1-2H3,(H,23,26)",confirmed_structure,PARENT0834,PARENT0834,CHEMBL5592234,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0834:chembl=CHEMBL5592234,class=pure_PAM",,
CM00851,ZLGFFOIACZAPJN-UHFFFAOYSA-N,O=C(O)c1cn(Cc2ccc(-c3ccccc3)cc2)c2ncccc2c1=O,"InChI=1S/C22H16N2O3/c25-20-18-7-4-12-23-21(18)24(14-19(20)22(26)27)13-15-8-10-17(11-9-15)16-5-2-1-3-6-16/h1-12,14H,13H2,(H,26,27)",confirmed_structure,PARENT0066,PARENT0066,CHEMBL1093126,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0066:chembl=CHEMBL1093126,class=other_context",,
