canonical_molecule_id,canonical_inchikey,canonical_smiles,canonical_inchi,identity_status,canonical_representative_parent_id,all_parent_ids,all_chembl_ids,all_names,all_aliases,identity_decision,identity_decision_provenance,member_notes,modeling_eligibility_note,collision_report
CM00001,ABXGTNGUHIUIPP-HWHTXHROSA-N,CCC[N+]12CC[C@@]34c5ccccc5N5C(=O)C[C@@H]6OCC=C(C1)[C@H](C[C@@H]32)[C@@H]6[C@H]54,"InChI=1S/C24H29N2O2/c1-2-9-26-10-8-24-17-5-3-4-6-18(17)25-21(27)13-19-22(23(24)25)16(12-20(24)26)15(14-26)7-11-28-19/h3-7,16,19-20,22-23H,2,8-14H2,1H3/q+1/t16-,19-,20-,22-,23-,24+,26?/m0/s1",confirmed_structure,PARENT0056,PARENT0056,CHEMBL141736,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0056:chembl=CHEMBL141736,class=other_context",,
CM00002,ACALNJUTYOTFKG-UHFFFAOYSA-N,Cc1ccc(-c2cn(CC3CCCC3)nn2)c(-c2ccc3c(c2)C(=O)N(C)C3)n1,"InChI=1S/C23H25N5O/c1-15-7-10-19(21-14-28(26-25-21)12-16-5-3-4-6-16)22(24-15)17-8-9-18-13-27(2)23(29)20(18)11-17/h7-11,14,16H,3-6,12-13H2,1-2H3",confirmed_structure,PARENT0866,PARENT0866,CHEMBL5624702,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0866:chembl=CHEMBL5624702,class=pure_PAM",,
CM00003,ACDNCVGTRQWKMN-UHFFFAOYSA-N,Cc1c2c(N)c(C(=O)NC3CN(c4ccc(F)c(F)c4)C3)ccc2nn1C,"InChI=1S/C19H19F2N5O/c1-10-17-16(24-25(10)2)6-4-13(18(17)22)19(27)23-11-8-26(9-11)12-3-5-14(20)15(21)7-12/h3-7,11H,8-9,22H2,1-2H3,(H,23,27)",confirmed_structure,PARENT0639,PARENT0639,CHEMBL4642005,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0639:chembl=CHEMBL4642005,class=pure_PAM",,
CM00004,ACMLGIFGCCVFKR-UHFFFAOYSA-N,N#Cc1cnc2ccc(F)cc2c1N1CCC(Oc2cccnc2)CC1,"InChI=1S/C20H17FN4O/c21-15-3-4-19-18(10-15)20(14(11-22)12-24-19)25-8-5-16(6-9-25)26-17-2-1-7-23-13-17/h1-4,7,10,12-13,16H,5-6,8-9H2",confirmed_structure,PARENT0380,PARENT0380,CHEMBL4096463,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0380:chembl=CHEMBL4096463,class=weak_PAM",,
CM00005,ACUBTKJTXUPFDJ-UHFFFAOYSA-N,CC1(C)CC(=O)n2c3ccccc3c3c4c(cc1c32)CCNC4,"InChI=1S/C20H20N2O/c1-20(2)10-17(23)22-16-6-4-3-5-13(16)18-14-11-21-8-7-12(14)9-15(20)19(18)22/h3-6,9,21H,7-8,10-11H2,1-2H3",confirmed_structure,PARENT0023,PARENT0023,CHEMBL282874,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0023:chembl=CHEMBL282874,class=other_context",,
CM00006,ADNXJRWPXNPPPG-UHFFFAOYSA-N,COc1cccc2c3c4c(cc5c3n(c12)C(=O)CC5)CNCC4,"InChI=1S/C19H18N2O2/c1-23-15-4-2-3-14-17-13-7-8-20-10-12(13)9-11-5-6-16(22)21(18(11)17)19(14)15/h2-4,9,20H,5-8,10H2,1H3",confirmed_structure,PARENT0032,PARENT0032,CHEMBL282680,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0032:chembl=CHEMBL282680,class=other_context",,
CM00007,ADTDBAKUQAKBGZ-VXJIXCKJSA-N,O=C1C[C@@H]2OCC=C3C[N+]4([O-])CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@@H]64,"InChI=1S/C21H22N2O3/c24-18-10-16-19-13-9-17-21(6-7-23(17,25)11-12(13)5-8-26-16)14-3-1-2-4-15(14)22(18)20(19)21/h1-5,13,16-17,19-20H,6-11H2/t13-,16-,17-,19-,20-,21+,23?/m0/s1",confirmed_structure,PARENT0043,PARENT0043,CHEMBL138585,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0043:chembl=CHEMBL138585,class=other_context",,
CM00008,AENGNZMXXWOIGO-UHFFFAOYSA-N,O=C(c1ccc2c(c1)c1c3c(cc4c1n2C(=O)CC4)CNCC3)N1CCOCC1,"InChI=1S/C23H23N3O3/c27-20-4-2-14-11-16-13-24-6-5-17(16)21-18-12-15(1-3-19(18)26(20)22(14)21)23(28)25-7-9-29-10-8-25/h1,3,11-12,24H,2,4-10,13H2",confirmed_structure,PARENT0019,PARENT0019,CHEMBL23620,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0019:chembl=CHEMBL23620,class=other_context",,
CM00009,AFHJDMPMQZWEMI-UHFFFAOYSA-N,Cc1nnc2sc3c(NCC4CC4)nn(C)c3c2c1C,"InChI=1S/C14H17N5S/c1-7-8(2)16-17-14-10(7)11-12(20-14)13(18-19(11)3)15-6-9-4-5-9/h9H,4-6H2,1-3H3,(H,15,18)",confirmed_structure,PARENT0467,PARENT0467,CHEMBL4592523,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0467:chembl=CHEMBL4592523,class=pure_PAM",,
CM00010,AFRMEEZYPRPRRR-UHFFFAOYSA-N,Cc1nnc2ccc(C(=O)NC3CN(c4cc(Cl)ncc4Cl)C3)cn12,"InChI=1S/C16H14Cl2N6O/c1-9-21-22-15-3-2-10(6-24(9)15)16(25)20-11-7-23(8-11)13-4-14(18)19-5-12(13)17/h2-6,11H,7-8H2,1H3,(H,20,25)",confirmed_structure,PARENT0572,PARENT0572,CHEMBL4642498,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0572:chembl=CHEMBL4642498,class=weak_PAM",,
CM00011,AGDKDKDZTMAOMW-UHFFFAOYSA-N,Cc1nnc2sc(C(=O)N3CC(c4ccccc4F)C3)c(N)c2c1C,"InChI=1S/C18H17FN4OS/c1-9-10(2)21-22-17-14(9)15(20)16(25-17)18(24)23-7-11(8-23)12-5-3-4-6-13(12)19/h3-6,11H,7-8,20H2,1-2H3",confirmed_structure,PARENT0406,PARENT0406,CHEMBL4216633,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0406:chembl=CHEMBL4216633,class=pure_PAM",,
CM00012,AGGGVLMJJFGVBC-UHFFFAOYSA-N,Cc1nnc2sc(C(=O)NC3CN(c4ccnc(Cl)c4)C3)c(N)c2c1C,"InChI=1S/C17H17ClN6OS/c1-8-9(2)22-23-17-13(8)14(19)15(26-17)16(25)21-10-6-24(7-10)11-3-4-20-12(18)5-11/h3-5,10H,6-7,19H2,1-2H3,(H,21,25)",confirmed_structure,PARENT0346,PARENT0346,CHEMBL4079904,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0346:chembl=CHEMBL4079904,class=pure_PAM",,
CM00013,AGTDFHKXZUTBAZ-UHFFFAOYSA-N,Cc1nc2cc(C)c3c(N)c(C(=O)NC4CN(c5ccc(F)c(F)c5)C4)sc3n2n1,"InChI=1S/C20H18F2N6OS/c1-9-5-15-24-10(2)26-28(15)20-16(9)17(23)18(30-20)19(29)25-11-7-27(8-11)12-3-4-13(21)14(22)6-12/h3-6,11H,7-8,23H2,1-2H3,(H,25,29)",confirmed_structure,PARENT0528,PARENT0528,CHEMBL4549515,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0528:chembl=CHEMBL4549515,class=pure_PAM",,
CM00014,AHXBDESFKJZIET-UHFFFAOYSA-N,Cc1c2c(ccc3c(N4CCCC4)ncnc32)nn1C,"InChI=1S/C15H17N5/c1-10-13-12(18-19(10)2)6-5-11-14(13)16-9-17-15(11)20-7-3-4-8-20/h5-6,9H,3-4,7-8H2,1-2H3",confirmed_structure,PARENT0632,PARENT0632,CHEMBL4632514,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0632:chembl=CHEMBL4632514,class=pure_PAM",,
CM00015,AHXDCKJKNGLWLE-UHFFFAOYSA-N,Nc1c(C(O)c2ccncc2)sc2nc(OCCN3CCOCC3)c3c(c12)CCC3,"InChI=1S/C22H26N4O3S/c23-18-17-15-2-1-3-16(15)21(29-13-10-26-8-11-28-12-9-26)25-22(17)30-20(18)19(27)14-4-6-24-7-5-14/h4-7,19,27H,1-3,8-13,23H2",confirmed_structure,PARENT0549,PARENT0549,CHEMBL4519181,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0549:chembl=CHEMBL4519181,class=inactive_tested",,
CM00016,AKJGKPUSUCMFKM-UHFFFAOYSA-N,Cc1c2c(ccc3c(NCc4ccc(C(=O)NCC(C)(C)C)cc4)ncnc32)nn1C,"InChI=1S/C24H28N6O/c1-15-20-19(29-30(15)5)11-10-18-21(20)27-14-28-22(18)25-12-16-6-8-17(9-7-16)23(31)26-13-24(2,3)4/h6-11,14H,12-13H2,1-5H3,(H,26,31)(H,25,27,28)",confirmed_structure,PARENT0625,PARENT0625,CHEMBL4633191,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0625:chembl=CHEMBL4633191,class=pure_PAM",,
CM00017,AKZJWLOWUIDMMF-UHFFFAOYSA-N,Cc1ccc(-c2cnn(CC(=O)O)c2)c(-c2ccc3c(c2)C(=O)N(C)C3)n1,"InChI=1S/C20H18N4O3/c1-12-3-6-16(15-8-21-24(10-15)11-18(25)26)19(22-12)13-4-5-14-9-23(2)20(27)17(14)7-13/h3-8,10H,9,11H2,1-2H3,(H,25,26)",confirmed_structure,PARENT0765,PARENT0765,CHEMBL5561733,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0765:chembl=CHEMBL5561733,class=other_context",,
CM00018,AMXMVCLIJFHVDC-UHFFFAOYSA-N,Cc1sc2ncnc(N3CCC(C(=O)Nc4ccc(S(C)(=O)=O)cc4)CC3)c2c1C,"InChI=1S/C21H24N4O3S2/c1-13-14(2)29-21-18(13)19(22-12-23-21)25-10-8-15(9-11-25)20(26)24-16-4-6-17(7-5-16)30(3,27)28/h4-7,12,15H,8-11H2,1-3H3,(H,24,26)",confirmed_structure,PARENT0286,PARENT0286,CHEMBL3808592,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0286:chembl=CHEMBL3808592,class=pure_PAM",,
CM00019,ANNRDPJKNDKBJH-UHFFFAOYSA-N,Nc1c(C(O)c2ccncc2)sc2nc(OCc3ccncc3)c3c(c12)CCC3,"InChI=1S/C22H20N4O2S/c23-18-17-15-2-1-3-16(15)21(28-12-13-4-8-24-9-5-13)26-22(17)29-20(18)19(27)14-6-10-25-11-7-14/h4-11,19,27H,1-3,12,23H2",confirmed_structure,PARENT0548,PARENT0548,CHEMBL4547713,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0548:chembl=CHEMBL4547713,class=inactive_tested",,
CM00020,AOKUPAOARJYWMG-UHFFFAOYSA-N,Cc1cc(C)c2c(n1)sc1c(NCc3ccc(OC(F)F)cc3)ncnc12,"InChI=1S/C19H16F2N4OS/c1-10-7-11(2)25-18-14(10)15-16(27-18)17(24-9-23-15)22-8-12-3-5-13(6-4-12)26-19(20)21/h3-7,9,19H,8H2,1-2H3,(H,22,23,24)",confirmed_structure,PARENT0676,PARENT0676,CHEMBL5085688,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0676:chembl=CHEMBL5085688,class=weak_PAM",,
CM00021,AONOIOROLLXNKA-NZKWEKDOSA-N,C=CC[N+]12CC[C@@]34c5cc(OC)c(OC)cc5N5C(=O)C[C@@H]6OCC=C(C1)[C@H](C[C@@H]32)[C@@H]6[C@H]54,"InChI=1S/C26H31N2O4/c1-4-7-28-8-6-26-17-11-19(30-2)20(31-3)12-18(17)27-23(29)13-21-24(25(26)27)16(10-22(26)28)15(14-28)5-9-32-21/h4-5,11-12,16,21-22,24-25H,1,6-10,13-14H2,2-3H3/q+1/t16-,21-,22-,24-,25-,26+,28?/m0/s1",confirmed_structure,PARENT0041,PARENT0041,CHEMBL140076,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0041:chembl=CHEMBL140076,class=other_context",,
CM00022,APRFZDOURHFBPX-UHFFFAOYSA-N,COc1cccnc1C1CCN(C2CCCN(c3nccnc3C)CC2)CC1,"InChI=1S/C22H31N5O/c1-17-22(25-12-11-23-17)27-13-4-5-19(9-16-27)26-14-7-18(8-15-26)21-20(28-2)6-3-10-24-21/h3,6,10-12,18-19H,4-5,7-9,13-16H2,1-2H3",confirmed_structure,PARENT0449,PARENT0449,CHEMBL4449608,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0449:chembl=CHEMBL4449608,class=weak_PAM",,
CM00023,ARIJMPJOTQSUIT-UHFFFAOYSA-N,Cc1nc2sc3c(NC4(C)CC4)ncnc3c2c(C)c1Cl,"InChI=1S/C15H15ClN4S/c1-7-9-11-12(21-14(9)19-8(2)10(7)16)13(18-6-17-11)20-15(3)4-5-15/h6H,4-5H2,1-3H3,(H,17,18,20)",confirmed_structure,PARENT0804,PARENT0804,CHEMBL5594585,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0804:chembl=CHEMBL5594585,class=pure_PAM",,
CM00024,AROJMDFUZFWLQW-UHFFFAOYSA-N,Cc1ccc(-c2cnn(CCCCNC(=O)OC(C)(C)C)c2)c(-c2ccc3c(c2)C(=O)N(C)C3)n1,"InChI=1S/C27H33N5O3/c1-18-8-11-22(24(30-18)19-9-10-20-16-31(5)25(33)23(20)14-19)21-15-29-32(17-21)13-7-6-12-28-26(34)35-27(2,3)4/h8-11,14-15,17H,6-7,12-13,16H2,1-5H3,(H,28,34)",confirmed_structure,PARENT0761,PARENT0761,CHEMBL5559225,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0761:chembl=CHEMBL5559225,class=other_context",,
CM00025,ARTWGPDSRLMQDQ-UHFFFAOYSA-N,COc1ccc(C)c2sc(C(=O)Nc3ccc(C)nc3)nc12,"InChI=1S/C16H15N3O2S/c1-9-4-7-12(21-3)13-14(9)22-16(19-13)15(20)18-11-6-5-10(2)17-8-11/h4-8H,1-3H3,(H,18,20)",confirmed_structure,PARENT0145,PARENT0145,CHEMBL2057679,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0145:chembl=CHEMBL2057679,class=other_context",,
CM00026,ASAKPTPDFNXOQN-UHFFFAOYSA-N,N#CC1(c2ccccn2)CCN(Cc2cc(C(=O)N3CCCC3)c(=O)n3ccccc23)CC1,"InChI=1S/C26H27N5O2/c27-19-26(23-8-1-3-11-28-23)9-15-29(16-10-26)18-20-17-21(24(32)30-12-5-6-13-30)25(33)31-14-4-2-7-22(20)31/h1-4,7-8,11,14,17H,5-6,9-10,12-13,15-16,18H2",confirmed_structure,PARENT0189,PARENT0189,CHEMBL2204283,MSD-M1PAM-NC,MSD-M1PAM-NC,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0189:chembl=CHEMBL2204283,class=other_context",,
CM00027,ATIZZBTWIFKCAK-UHFFFAOYSA-N,Cc1c2c(ccc3c(NCc4ccc(C(C)(C)O)cc4)ncnc32)nn1C,"InChI=1S/C21H23N5O/c1-13-18-17(25-26(13)4)10-9-16-19(18)23-12-24-20(16)22-11-14-5-7-15(8-6-14)21(2,3)27/h5-10,12,27H,11H2,1-4H3,(H,22,23,24)",confirmed_structure,PARENT0627,PARENT0627,CHEMBL4636269,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0627:chembl=CHEMBL4636269,class=pure_PAM",,
CM00028,ATIZZBTWIFKCAK-ZWGOZCLVSA-N,[2H]C([2H])(Nc1ncnc2c1ccc1nn(C)c(C)c12)c1ccc(C(C)(C)O)cc1,"InChI=1S/C21H23N5O/c1-13-18-17(25-26(13)4)10-9-16-19(18)23-12-24-20(16)22-11-14-5-7-15(8-6-14)21(2,3)27/h5-10,12,27H,11H2,1-4H3,(H,22,23,24)/i11D2",confirmed_structure,PARENT0626,PARENT0626,CHEMBL4640311,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0626:chembl=CHEMBL4640311,class=pure_PAM",,
CM00029,AWGNMEAIKYCZDE-UHFFFAOYSA-N,Cn1cc(-c2ccc(CN3C(=O)Cc4ccccc43)c(F)c2)cn1,"InChI=1S/C19H16FN3O/c1-22-11-16(10-21-22)13-6-7-15(17(20)8-13)12-23-18-5-3-2-4-14(18)9-19(23)24/h2-8,10-11H,9,12H2,1H3",confirmed_structure,PARENT0233,PARENT0233,CHEMBL2313520,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0233:chembl=CHEMBL2313520,class=other_context",,
CM00030,AWLVLZULLWUBFO-UHFFFAOYSA-N,Cc1cc(C)c2c(n1)sc1c(C3CCN(CC4CC4)CC3)ncnc12,"InChI=1S/C20H24N4S/c1-12-9-13(2)23-20-16(12)18-19(25-20)17(21-11-22-18)15-5-7-24(8-6-15)10-14-3-4-14/h9,11,14-15H,3-8,10H2,1-2H3",confirmed_structure,PARENT0705,PARENT0705,CHEMBL5086202,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0705:chembl=CHEMBL5086202,class=other_context",,
CM00031,AWPVTNIIFMYDJC-UHFFFAOYSA-N,O=C(Nc1nc2cccnc2s1)c1cccnn1,"InChI=1S/C11H7N5OS/c17-9(7-3-2-6-13-16-7)15-11-14-8-4-1-5-12-10(8)18-11/h1-6H,(H,14,15,17)",confirmed_structure,PARENT0154,PARENT0154,CHEMBL2057412,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0154:chembl=CHEMBL2057412,class=other_context",,
CM00032,AWTONMHYTKKOJL-UHFFFAOYSA-N,Cc1cc(C)c2c(n1)sc1c(N3CCCC3)nccc12,"InChI=1S/C16H17N3S/c1-10-9-11(2)18-16-13(10)12-5-6-17-15(14(12)20-16)19-7-3-4-8-19/h5-6,9H,3-4,7-8H2,1-2H3",confirmed_structure,PARENT0718,PARENT0718,CHEMBL5075610,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0718:chembl=CHEMBL5075610,class=pure_PAM",,
CM00033,AYILEFPCZHBWSV-UHFFFAOYSA-N,Cc1cc2nccn2c2sc(C(=O)NC3CC3)c(N)c12,"InChI=1S/C14H14N4OS/c1-7-6-9-16-4-5-18(9)14-10(7)11(15)12(20-14)13(19)17-8-2-3-8/h4-6,8H,2-3,15H2,1H3,(H,17,19)",confirmed_structure,PARENT0505,PARENT0505,CHEMBL4574990,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0505:chembl=CHEMBL4574990,class=pure_PAM",,
CM00034,AZOGCTMOKNTHIU-UHFFFAOYSA-N,Cc1cc(C)c2c(N)c(C(=O)NCc3ccc4c(c3)OCO4)sc2n1,"InChI=1S/C18H17N3O3S/c1-9-5-10(2)21-18-14(9)15(19)16(25-18)17(22)20-7-11-3-4-12-13(6-11)24-8-23-12/h3-6H,7-8,19H2,1-2H3,(H,20,22)",confirmed_structure,PARENT0869,PARENT0869,,VU0152099,7o;VU0152099,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0869:chembl=-,class=pure_PAM",,
CM00035,AZYCAHFSJRCOOQ-UHFFFAOYSA-N,Cc1ccc(OC2CCN(c3c(C#N)cnc4ccc(F)cc34)CC2)c(C)n1,"InChI=1S/C22H21FN4O/c1-14-3-6-21(15(2)26-14)28-18-7-9-27(10-8-18)22-16(12-24)13-25-20-5-4-17(23)11-19(20)22/h3-6,11,13,18H,7-10H2,1-2H3",confirmed_structure,PARENT0398,PARENT0398,CHEMBL4088764,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0398:chembl=CHEMBL4088764,class=inactive_tested",,
CM00036,BALHCUKTUUNTSK-UHFFFAOYSA-N,Cc1nnc2sc(C(=O)N3CC(c4ccc(F)cc4)C3)c(N)c2c1C,"InChI=1S/C18H17FN4OS/c1-9-10(2)21-22-17-14(9)15(20)16(25-17)18(24)23-7-12(8-23)11-3-5-13(19)6-4-11/h3-6,12H,7-8,20H2,1-2H3",confirmed_structure,PARENT0408,PARENT0408,CHEMBL4211252,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0408:chembl=CHEMBL4211252,class=pure_PAM",,
CM00037,BAYRNIMPWMTFSK-UHFFFAOYSA-N,Cc1cn2c(cc(C)c3c(N)c(C(=O)NC4Cc5cccnc5C4)sc32)n1,"InChI=1S/C20H19N5OS/c1-10-6-15-23-11(2)9-25(15)20-16(10)17(21)18(27-20)19(26)24-13-7-12-4-3-5-22-14(12)8-13/h3-6,9,13H,7-8,21H2,1-2H3,(H,24,26)",confirmed_structure,PARENT0511,PARENT0511,CHEMBL4556741,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0511:chembl=CHEMBL4556741,class=pure_PAM",,
CM00038,BDCMAJVEKVEQNH-UHFFFAOYSA-N,Cc1nnc2sc(C(=O)NCc3ccc(S(C)(=O)=O)cc3)c(N)c2c1C,"InChI=1S/C17H18N4O3S2/c1-9-10(2)20-21-17-13(9)14(18)15(25-17)16(22)19-8-11-4-6-12(7-5-11)26(3,23)24/h4-7H,8,18H2,1-3H3,(H,19,22)",confirmed_structure,PARENT0309,PARENT0309,CHEMBL3974708,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0309:chembl=CHEMBL3974708,class=pure_PAM",,
CM00039,BDLKJPSKYAMDGJ-UHFFFAOYSA-N,Cc1nnc2sc(C(=O)NC3CN(c4nc5ccccc5s4)C3)c(N)c2c1C,"InChI=1S/C19H18N6OS2/c1-9-10(2)23-24-18-14(9)15(20)16(28-18)17(26)21-11-7-25(8-11)19-22-12-5-3-4-6-13(12)27-19/h3-6,11H,7-8,20H2,1-2H3,(H,21,26)",confirmed_structure,PARENT0359,PARENT0359,CHEMBL4090463,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0359:chembl=CHEMBL4090463,class=pure_PAM",,
CM00040,BDRKLUMZHZRPPC-UHFFFAOYSA-N,Cc1ccc(-c2cnn(CCN)c2)c(-c2ccc3c(c2)C(=O)N(C)C3)n1,"InChI=1S/C20H21N5O/c1-13-3-6-17(16-10-22-25(12-16)8-7-21)19(23-13)14-4-5-15-11-24(2)20(26)18(15)9-14/h3-6,9-10,12H,7-8,11,21H2,1-2H3",confirmed_structure,PARENT0774,PARENT0774,CHEMBL5568480,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0774:chembl=CHEMBL5568480,class=other_context",,
CM00041,BETTUMPJORNNGK-UHFFFAOYSA-N,COc1ccc2nc(NC(=O)c3ccncc3)sc2n1,"InChI=1S/C13H10N4O2S/c1-19-10-3-2-9-12(16-10)20-13(15-9)17-11(18)8-4-6-14-7-5-8/h2-7H,1H3,(H,15,17,18)",confirmed_structure,PARENT0157,PARENT0157,CHEMBL2057415,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0157:chembl=CHEMBL2057415,class=other_context",,
CM00042,BFTIMHUIJDPDLU-UHFFFAOYSA-N,Cn1nnc2ccc(C(=O)NC3CN(c4cc(Cl)ncc4Cl)C3)cc21,"InChI=1S/C16H14Cl2N6O/c1-23-14-4-9(2-3-12(14)21-22-23)16(25)20-10-7-24(8-10)13-5-15(18)19-6-11(13)17/h2-6,10H,7-8H2,1H3,(H,20,25)",confirmed_structure,PARENT0590,PARENT0590,CHEMBL4632855,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0590:chembl=CHEMBL4632855,class=pure_PAM",,
CM00043,BHDQGEDYCWLCIA-UHFFFAOYSA-N,Cc1cc(C)c2c(n1)sc1c(N3CCC3)ncnc12,"InChI=1S/C14H14N4S/c1-8-6-9(2)17-14-10(8)11-12(19-14)13(16-7-15-11)18-4-3-5-18/h6-7H,3-5H2,1-2H3",confirmed_structure,PARENT0696,PARENT0696,CHEMBL5082904,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0696:chembl=CHEMBL5082904,class=pure_PAM",,
CM00044,BIDRTJVDWVKIEN-UHFFFAOYSA-N,Cc1c2c(ccc3c(NCc4ccc(C(=O)NC5CCCC5)cc4)ncnc32)nn1C,"InChI=1S/C24H26N6O/c1-15-21-20(29-30(15)2)12-11-19-22(21)26-14-27-23(19)25-13-16-7-9-17(10-8-16)24(31)28-18-5-3-4-6-18/h7-12,14,18H,3-6,13H2,1-2H3,(H,28,31)(H,25,26,27)",confirmed_structure,PARENT0623,PARENT0623,CHEMBL4642156,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0623:chembl=CHEMBL4642156,class=pure_PAM",,
CM00045,BIUUTDIZHYNHOY-UHFFFAOYSA-N,Cc1c(Cl)nnc2sc(C(=O)NC3CN(c4ccnc(F)c4Cl)C3)c(N)c12,"InChI=1S/C16H13Cl2FN6OS/c1-6-9-11(20)12(27-16(9)24-23-13(6)18)15(26)22-7-4-25(5-7)8-2-3-21-14(19)10(8)17/h2-3,7H,4-5,20H2,1H3,(H,22,26)",confirmed_structure,PARENT0656,PARENT0656,CHEMBL4787099,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0656:chembl=CHEMBL4787099,class=pure_PAM",,
CM00046,BJWYXJYJCGLDDU-UHFFFAOYSA-N,Cc1nc2sc(C(=O)NCc3ccc4c(c3)OCO4)c(N)c2c(C)c1Cl,"InChI=1S/C18H16ClN3O3S/c1-8-13-15(20)16(26-18(13)22-9(2)14(8)19)17(23)21-6-10-3-4-11-12(5-10)25-7-24-11/h3-5H,6-7,20H2,1-2H3,(H,21,23)",confirmed_structure,PARENT0213,PARENT0213,CHEMBL2313391,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0213:chembl=CHEMBL2313391,class=pure_PAM",,
CM00047,BKHGLZQRUWEIFV-UHFFFAOYSA-N,Cc1cc(C)c2c(n1)sc1c(N(C)C)nccc12,"InChI=1S/C14H15N3S/c1-8-7-9(2)16-14-11(8)10-5-6-15-13(17(3)4)12(10)18-14/h5-7H,1-4H3",confirmed_structure,PARENT0719,PARENT0719,CHEMBL5078186,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0719:chembl=CHEMBL5078186,class=pure_PAM",,
CM00048,BKQMNYLKLPPLFJ-UHFFFAOYSA-N,Cc1sc2ncnc(N3CCC(C(=O)Nc4cc(Cl)ccc4Cl)CC3)c2c1C,"InChI=1S/C20H20Cl2N4OS/c1-11-12(2)28-20-17(11)18(23-10-24-20)26-7-5-13(6-8-26)19(27)25-16-9-14(21)3-4-15(16)22/h3-4,9-10,13H,5-8H2,1-2H3,(H,25,27)",confirmed_structure,PARENT0289,PARENT0289,CHEMBL1314270,,,,human_audit/label_blind_primary_review_001/human_identity_decisions.jsonl,"PARENT0289:chembl=CHEMBL1314270,class=weak_PAM",,
