window,layer,metric,cosine,norm_R2,norm_R3,distance,relative_distance
0,L0,dPAM,0.900443382521513,31.174619683371247,21.552984846095953,15.045306750575538,0.5706804579816388
0,L0,dAGO,0.22693232564935745,9.563853704286448,6.4586041217900805,10.254073992473037,1.279962675362396
0,L0,dINT,0.9424202719791784,24.96337068683088,22.698232783983716,8.389458103999294,0.3520426294149565
0,L1,dPAM,0.253421014014392,0.4140082084167333,0.6984857359968111,0.7160426916724064,1.2872747672345688
0,L1,dAGO,0.09479884317025417,0.2660390343255048,0.36404124399066057,0.4300469910003059,1.3650545995490257
0,L1,dINT,0.8367958169608423,0.4844288098699822,0.6402009109973388,0.35425209992356665,0.6299888636241364
0,L2,dPAM,0.2534210209103673,0.4140082382287712,0.6984857639793518,0.7160427219509411,1.287274754793663
0,L2,dAGO,0.09479897079663153,0.26603910559031924,0.3640412872489005,0.4300470347074231,1.3650544901725263
0,L2,dINT,0.8367957303792016,0.4844290422693397,0.6402009202033614,0.3542521481778629,0.62998881409664
0,L3,dPAM,0.5174181661921975,27.52241554124139,24.56647758447377,25.715997470480385,0.9873889010624782
0,L3,dAGO,0.5484978453289038,17.969038546713552,17.197949841641215,16.72275583289698,0.9510485031146181
0,L3,dINT,0.6630549073541313,28.479862889253965,22.989665272182098,21.710983959876273,0.8436441807579419
0,L4,dPAM,0.5027442833995225,0.8631590002440054,0.7702925462371082,0.8184496667210789,1.0021107372107068
0,L4,dAGO,0.5310153056030873,0.6666079625102085,0.5513045488801864,0.5983330020802701,0.9825549807304308
0,L4,dINT,0.6759586110733683,0.9316320577580798,0.7311070595818043,0.6939987136585495,0.8347656062471617
1,L0,dPAM,0.8709165353047512,17.6276868164378,26.58510387086013,14.185242027906709,0.6416804642907122
1,L0,dAGO,-0.7827316034949761,10.519671534925058,23.517095777257758,32.41913862682582,1.9049481597050495
1,L0,dINT,0.5055456520248002,10.991451162885143,47.26072006877829,42.76870621736443,1.4683986987292643
1,L1,dPAM,0.14918638355123964,0.39830189374088826,0.7480750516148434,0.7933206276987678,1.38404846837284
1,L1,dAGO,0.7704607358725567,0.21762968327928348,0.5440909480544066,0.40116904459016156,1.053323300138945
1,L1,dINT,-0.15472491597115273,0.3077234913705976,0.6543708780649077,0.764988528500187,1.590256741548197
1,L2,dPAM,0.1491860544172662,0.39830193920083523,0.7480749234054084,0.7933206564514331,1.384048618440971
1,L2,dAGO,0.7704607187505108,0.21762976422793642,0.544091173857271,0.40116922084078854,1.0533233387262175
1,L2,dINT,-0.15472494102159776,0.3077235377949172,0.6543709666667616,0.764988641217587,1.5902567526786184
1,L3,dPAM,0.7158822871029775,31.954689010473047,32.33013306635964,24.231892332736642,0.7538915579100425
1,L3,dAGO,-0.0666202339544135,15.118923275983615,27.214785714017964,32.00077019693358,1.5118339951971396
1,L3,dINT,0.3932665949734122,36.248962949656715,49.07489825694314,48.19914852075771,1.1297929521508685
1,L4,dPAM,0.7123093575062336,0.6561588726422083,0.7201981507916501,0.5253624888719501,0.7634101907094264
1,L4,dAGO,-0.038464298508245814,0.3905657369567117,0.6338595180152732,0.7572081748248486,1.4783082926739368
1,L4,dINT,0.3625663459329825,0.7701982086278537,1.1149715725932166,1.1016623058035395,1.168767202591128
2,L0,dPAM,-0.5333728434810894,13.281781296625832,7.213842182457969,18.183866210961213,1.774414545575373
2,L0,dAGO,0.7330009114436169,16.513974707601353,14.753125459379445,11.54123171462591,0.7382348636739824
2,L0,dINT,0.4216159530111954,17.644394033520594,20.11966047094887,20.415158871427494,1.081195286857311
2,L1,dPAM,0.14199759080108418,0.6536303142711677,0.3219386890586199,0.6863791353250444,1.4071360057203792
2,L1,dAGO,0.8943033000999268,0.834664565874411,0.39727520677595085,0.5112785092438002,0.8300381570502421
2,L1,dINT,0.6683861114964655,1.4540950990300283,0.6598657372929331,1.125687491380214,1.0650031656577355
2,L2,dPAM,0.14199742929821002,0.6536303077636033,0.3219386585704511,0.6863791688971908,1.407136127907867
2,L2,dAGO,0.8943032449586082,0.8346647735062068,0.3972751827849116,0.5112787560678587,0.8300384340274437
2,L2,dINT,0.6683860399973912,1.4540952699743308,0.6598657063051409,1.1256877147532072,1.0650033064795688
2,L3,dPAM,-0.3557203204216356,27.40517014744947,18.04883151100145,37.79820733480035,1.6631410197422218
2,L3,dAGO,0.21089460361259152,17.328611943535204,22.90236064802013,25.63991163991077,1.2746354357484615
2,L3,dINT,0.37576573806286206,27.896838409886396,30.09905265089418,32.452262256406755,1.1191228089726664
2,L4,dPAM,-0.35364363945664135,0.5929054889207558,0.4328673290369836,0.8487849609677246,1.6549180210440972
2,L4,dAGO,0.2223789352019127,0.44455798646898215,0.5492234398095855,0.6250482920002823,1.257919046325735
