window,region,stage,cosine,norm_R2,norm_R3,distance,relative_distance,bias_cosine,cancel_ratio,l1_reconstruction_max_error
0,ACh_pocket,S0,0.8178562833697132,38.773082368644125,36.81880263728665,22.888165171651636,0.6055720179449389,0.4408517452312535,0.5390003257409085,
0,ACh_pocket,S1,0.7926244858579541,6.5381425167112255,5.920521644705434,4.054151202270735,0.6508163555489471,0.25871751750327615,0.6204964017726459,
0,ACh_pocket,S2,0.6111526029134731,3.899832673018482,6.475266274970369,5.125579091231758,0.9880540160487473,0.17727206454453703,0.6484550310576892,
0,ACh_pocket,S3,0.5124022612422496,0.9584694854393263,2.421941205068633,2.0989345080956614,1.2418221927822999,-0.05747043597390331,0.7426468944970223,1.2392700327046313e-07
0,compound110_pocket,S0,0.6662188507800544,60.391848167882955,48.95793415705395,45.87471219720134,0.839045331812055,-0.3808904389942418,0.8349679641339748,
0,compound110_pocket,S1,0.7417157373870459,9.04417676782676,7.329195861060984,6.097761985846305,0.7448388458573219,-0.26367574345454803,0.8011758487800699,
0,compound110_pocket,S2,0.7300008278853024,12.824242549634398,11.331324899531248,8.98326323323297,0.7437840781126638,-0.3373031440671997,0.8199488243634201,
0,compound110_pocket,S3,0.614701825774876,4.079796564262594,3.491406980208881,3.3649300264639934,0.8888758588246065,-0.6018285376623156,0.8970115251121196,2.0034512285271866e-07
0,distal_control,S0,-0.22095892348129398,26.912981424139637,35.886367813816854,49.38570911008002,1.5728095819257584,-0.25542868865612584,0.7984985305277654,
0,distal_control,S1,-0.13113082295644943,4.061673083151346,4.3882987113735386,6.358369449351012,1.5049445380328688,-0.03941868290135922,0.7320842537626224,
0,distal_control,S2,-0.24259552176209107,4.537605400838591,6.082145783185889,8.424538308232329,1.5865792262450635,-0.2609859476902276,0.8004099200754492,
0,distal_control,S3,-0.15964710206564706,1.4153600344688122,2.029834738272257,2.6534483990856135,1.540376422302809,-0.18922551694473927,0.7730355118129709,1.1745329975276775e-07
0,global,S0,0.9424202719791784,24.96337068683088,22.698232783983716,8.389458103999294,0.3520426294149565,0.8462910898391405,0.3316072511499886,
0,global,S1,0.9393366236431699,4.2335467684192585,3.751139807922337,1.469510543117135,0.36808221063335256,0.8161575680667336,0.36605096745198523,
0,global,S2,0.9244718743083078,2.287760400612536,2.5863950678217136,0.991458719021462,0.4068227718390581,0.8737286979604157,0.3405902898445831,
0,global,S3,0.8367957797461577,0.4844287908294124,0.6402008485071791,0.35425209383545603,0.6299888984687012,0.9290411676406375,0.3090963110426575,1.1270531929952199e-07
1,ACh_pocket,S0,0.34362246915783695,19.514677281664163,55.176030673154656,51.81921654951241,1.3875679577400282,-0.28874913275452896,0.8095874003837017,
1,ACh_pocket,S1,0.3893193544087483,3.321078471200781,9.658893368569096,8.907673957708285,1.372525929588798,-0.2883023722955792,0.8114827682431165,
1,ACh_pocket,S2,0.46800340797586815,4.520502276617403,4.580250598526109,4.693994474229644,1.0315617924425011,0.37188697782755065,0.5908019633644702,
1,ACh_pocket,S3,0.3705342180007211,1.5124183171650856,0.6821642274012105,1.4100297149487566,1.285009505283761,0.6881736703575992,0.6159161934791382,5.875265096655369e-08
1,compound110_pocket,S0,0.12615765103203028,25.452025808957302,56.12216783857304,58.6267037637651,1.4373835925876792,-0.4978318768942604,0.8744706067702924,
1,compound110_pocket,S1,0.17495241896586505,3.998352052578484,9.527145233159994,9.665631494269729,1.4292460070154078,-0.48505896758553735,0.8701980153246253,
1,compound110_pocket,S2,-0.031530065110883056,6.19529717341674,8.206523663977935,10.437185040823072,1.4494257578489895,-0.5938195058530527,0.897351198991055,
1,compound110_pocket,S3,0.14520803211018685,1.7087813608709506,2.7777327712189486,3.042574930433939,1.3563202258394103,-0.7053328171648839,0.9240625390116434,7.420016234771509e-08
1,distal_control,S0,0.6480343561391634,27.993480981119667,83.62563766155338,68.86814054646267,1.2339846682884257,-0.3404959809491632,0.8379309045594121,
1,distal_control,S1,0.6576762806397516,4.46489166507368,13.622438131996812,11.202801892187518,1.2387457980671062,-0.3360281953768749,0.8368827116330917,
1,distal_control,S2,0.6836699191195446,6.174009708993834,12.204233051706458,9.167002664188649,0.9975929454791189,-0.42928485561178825,0.8478061686736886,
1,distal_control,S3,0.6263070887237158,2.015567793100269,4.120829287657953,3.261866213076519,1.0631209715240522,-0.46833612692809407,0.8638700592814537,1.4470876741334848e-07
1,global,S0,0.5055456520248002,10.991451162885143,47.26072006877829,42.76870621736443,1.4683986987292643,-0.6272820752886348,0.9176971266760392,
1,global,S1,0.5523809405234208,1.8085222458834038,8.083340142051679,7.242978433362771,1.4644317013946524,-0.637541629720709,0.9215093670630001,
1,global,S2,0.34586710343387495,1.1348828906830926,3.4204592307358244,3.209721543961111,1.4092120672426391,-0.06907301184239288,0.731158772658913,
1,global,S3,-0.15472491383635878,0.3077234836211397,0.6543708911560482,0.7649885358082527,1.5902567479108622,0.3222044309483422,0.6404312457466953,3.0401347217434704e-08
2,ACh_pocket,S0,0.3919252309334913,27.01646370725096,37.86432021215945,36.90187477870698,1.1375286348125346,-0.032487349024446846,0.73626865876404,
2,ACh_pocket,S1,0.4036535678659363,4.591685708890829,6.516350130340405,6.276219739298949,1.1300323171685616,-0.06123626284676197,0.7461320675553239,
2,ACh_pocket,S2,0.5196827353618173,7.358514836675794,4.549249992090477,6.328499420377164,1.0629197857668542,0.17386583593434238,0.6890699918731473,
2,ACh_pocket,S3,0.7200691321438614,2.5144465735140384,1.3380494687842597,1.8076335771669305,0.9384220294168265,0.48262905670139505,0.6012599672775414,7.754413378080471e-08
2,compound110_pocket,S0,0.04603613595587277,37.91723113106362,36.09156574133486,51.13039550666851,1.3817383248325052,-0.5312238153266208,0.8753488735190181,
2,compound110_pocket,S1,0.04833898741795152,6.11376449435559,5.897765847957694,8.287085569685091,1.379855078164685,-0.5271005964619369,0.874006603011096,
2,compound110_pocket,S2,0.048551622676635736,10.58024608346749,8.977226043722098,13.539173016329938,1.3845524542517162,-0.8438655961562896,0.9603427384304928,
2,compound110_pocket,S3,-0.2129228105095128,3.523736295595834,2.9310818492829673,5.040460787715051,1.5617669389227054,-0.8960313919497407,0.9738988511595206,6.398804684726311e-08
2,distal_control,S0,0.2819551151239946,28.076102062901892,25.268857022486795,32.04240878212346,1.2013284603268146,0.412473889202756,0.5424603575013363,
2,distal_control,S1,0.288508314837954,4.6542736045376305,4.0589098618576,5.2188534227918115,1.1979211600260098,0.4171963766941773,0.5414910801767093,
2,distal_control,S2,0.22304556764420233,5.256446188971949,2.834565782248238,5.386867982655963,1.3315684124104892,0.13719486563606695,0.6670592261028221,
2,distal_control,S3,0.30688118356814853,1.4306002062058,0.9311935352247465,1.4477932169294156,1.22601156191775,0.3264897165703273,0.6157838568799044,1.085544376611125e-07
2,global,S0,0.4216159530111954,17.644394033520594,20.11966047094887,20.415158871427494,1.081195286857311,0.11215420523264139,0.6867987087051542,
2,global,S1,0.4112952495528346,2.879628753354888,3.3607142224703264,3.409685084051619,1.092787719284204,0.12395391190537917,0.6844524085628592,
2,global,S2,0.6777519028621762,4.342555674648894,2.328786247914099,3.2516122945249726,0.974800072389565,-0.48498943302790726,0.8647481542944613,
2,global,S3,0.6683861048514463,1.4540950933102337,0.6598657216639678,1.1256874962290135,1.065003181000544,-0.761760079340235,0.9399075761633081,3.7145861719878326e-08
3,ACh_pocket,S0,-0.29392485414012864,27.76071078642042,25.419515770651994,42.797583102648034,1.6095299276966468,0.2775571084701262,0.6026303961379669,
3,ACh_pocket,S1,-0.2913326147350647,4.8570743253098465,4.301603405229839,7.366729829095794,1.6086885128693573,0.27626146102792426,0.6041277620087468,
3,ACh_pocket,S2,0.21747152511187356,3.0779358356747366,5.093842418221698,5.348051628965171,1.3089076729205507,0.7988265871360933,0.37274208448066626,
3,ACh_pocket,S3,0.6280474865685697,0.6597407326820953,1.8640230965730376,1.537897772122284,1.2187335077039925,0.9151278313240601,0.3228762300558376,6.580706490844079e-08
3,compound110_pocket,S0,-0.34344532406153827,28.075997791267657,25.986442460822424,44.32503844338622,1.6397720205266757,-0.06779042305091998,0.7416682020573702,
3,compound110_pocket,S1,-0.390724628555274,4.710845545303924,4.4050398385275695,7.603463456161578,1.668178818844642,-0.10318896138875275,0.7516972599765259,
3,compound110_pocket,S2,-0.17921377268479638,4.097404427264331,5.011317867676787,7.018672562821093,1.5410882746352221,0.4089471637299009,0.591093240340672,
3,compound110_pocket,S3,-0.2863188373719128,1.5789389649858447,1.5225102910927952,2.4875045027554927,1.6040916986664508,0.2923752308315828,0.622259796444465,7.906623822329095e-08
3,distal_control,S0,-0.3086530400911,28.919317697742585,27.00166798988242,45.24878666825814,1.6183114840292037,0.6273069170952194,0.4323943503480908,
3,distal_control,S1,-0.39664493135261675,5.062965972485495,4.15022824537058,7.715373867401685,1.6748531909700837,0.5669874226247209,0.4654022456941213,
3,distal_control,S2,-0.36360257364402826,3.8688075146489473,5.871058534288975,8.121252012568474,1.6676311505236872,0.7936786723128827,0.3212152665362661,
3,distal_control,S3,-0.11809700141589217,1.5001992959559285,1.6357689619906133,2.346476774359694,1.4964926819101076,0.8707583352692365,0.26972176180082874,1.4037185235016292e-07
3,global,S0,-0.8004872334037687,18.54288144790407,19.64904200050567,36.238627470952295,1.8977115682536394,-0.3246973316807341,0.8235649840747876,
3,global,S1,-0.7986970976546525,3.3021854117774496,3.327535271281233,6.287233733583735,1.8966813336947588,-0.37114901741329387,0.8385077205915409,
3,global,S2,-0.5897785274002092,1.631925285675417,1.616140575472927,2.8958726933118966,1.7831366832494395,0.4024797312953912,0.5492223272111478,
3,global,S3,-0.6455003615248197,0.3562473446691972,0.46380337341534605,0.7452087875609144,1.817469995762108,0.4977864669946862,0.5040479096290744,4.2306075198617066e-08
4,ACh_pocket,S0,0.26548202792421044,36.79290948750547,33.27368201392397,42.553860217505054,1.2146690542706624,-0.10665126626347546,0.7495294824106148,
4,ACh_pocket,S1,0.26874628963112795,6.228671400743234,5.735585225342012,7.245089525670026,1.2111223876415043,-0.11105719795449163,0.7504720585595615,
4,ACh_pocket,S2,0.4090607159418368,8.956596184795359,3.6389055902973286,8.172996102727096,1.297764273097719,0.17257331794172837,0.6679883141930775,
4,ACh_pocket,S3,0.5091344291463153,2.7302766891321317,1.0448056603344802,2.3751436223596807,1.2583267873323447,0.41413427603389713,0.5603444658480284,8.805502982323077e-08
4,compound110_pocket,S0,0.14586816913758696,27.36581245306923,44.5215930041175,48.74030426143197,1.3560178991425627,-0.3035634989053459,0.8177279727415305,
4,compound110_pocket,S1,0.21275876144156602,4.63314057865845,7.1796337286368646,7.671936511127982,1.2989220502401304,-0.25951011236701316,0.805465952179727,
4,compound110_pocket,S2,-0.5321492583161341,5.180444482882814,6.860670996206658,10.570354358289913,1.755710154370054,-0.7417594083110783,0.940538946824882,
4,compound110_pocket,S3,-0.6102944364917662,1.584368696269442,2.030241711988091,3.2493560130306114,1.7979010991654856,-0.906743184294422,0.9779184668790699,1.0325599464344748e-07
4,distal_control,S0,0.24770413929644342,31.85612121461588,30.63185706184391,38.336636624094645,1.2270083840602237,0.29096434714010133,0.6191187997556789,
4,distal_control,S1,0.28200343593286914,5.586544337787036,5.104856829555318,6.417507758290798,1.2004989164364224,0.2689155792727201,0.6259765688480438,
4,distal_control,S2,-0.6148450971306327,6.725051272240287,3.986696573518966,9.699946745485665,1.811085713584239,0.37229497083038926,0.6051614523826834,
4,distal_control,S3,-0.8662963145252298,2.235303782725906,1.4399104799707954,3.5561935446326713,1.9352305963371517,0.3681832404184046,0.614520650134501,9.224933350537867e-08
4,global,S0,0.472785913624535,14.229931949852311,28.004591054138473,24.6968514527659,1.1695101398650705,-0.18713175884061095,0.7704412886404829,
4,global,S1,0.5000187680590956,2.4106034683905793,4.736994305586567,4.102521249754822,1.147944072815964,-0.20701614088031253,0.7768628763615009,
4,global,S2,-0.33450473234286554,1.8143637660834213,3.1172192719700127,4.097894010740394,1.661898006834694,-0.06971092034928376,0.8094638027660355,
4,global,S3,-0.6511693233689557,0.5498813943680076,0.7268580473140531,1.1624191688236187,1.8209183970884004,0.32348524044476423,0.7617255827977252,4.133005193640571e-08
