window,region,metric,cosine,norm_R2,norm_R3,distance,relative_distance
0,ACh_pocket,dPAM,-0.3730846167836099,1.0363313271632582,1.044212783603227,1.7238997379490992,1.6571624019199518
0,ACh_pocket,dAGO,0.9050220998758832,1.3412997477119237,2.1571686342233884,1.1023892250505707,0.6302124842647523
0,ACh_pocket,dINT,0.5124021052322671,0.9584694247983351,2.4219414272652595,2.098934893200457,1.2418223612784511
0,compound110_pocket,dPAM,0.7076890824858278,2.2174280153463495,1.9791558713371429,1.6194029321608916,0.7717719821112335
0,compound110_pocket,dAGO,0.6139501123814466,2.6702047686532215,1.9593637557546035,2.131864359382045,0.9209775589852557
0,compound110_pocket,dINT,0.6147018778981279,4.079796655207324,3.4914070616481796,3.3649298818834614,0.8888758003941267
0,ECV_anchor,dPAM,0.637861496102138,3.1109125376439453,3.825500375737886,3.0216071020285575,0.8712304586710021
0,ECV_anchor,dAGO,0.22274193166210102,2.3365545932203493,3.3093686001944147,3.600929718349504,1.2755857970400735
0,ECV_anchor,dINT,0.6245320330351155,4.565632164756058,6.828888799961095,5.341830874592403,0.9376139446551983
0,W435_gate,dPAM,0.22230606333716224,5.503176145345751,5.3484899076777,6.767918438977656,1.2473510345615555
0,W435_gate,dAGO,0.8515473143527628,7.259811815266029,6.115887070593375,3.806733309042543,0.5692014064501656
0,W435_gate,dINT,0.6233980170860752,7.980670636892733,3.079655629692594,6.521654867342825,1.179287972190402
0,species_probe,dPAM,0.9756580625786136,4.471031502431278,3.830109069536197,1.1155583555770496,0.2687723080715517
0,species_probe,dAGO,0.11200695334904402,2.892250243974423,3.061309193326621,3.9690414628068167,1.3333339507587487
0,species_probe,dINT,0.7582648772786993,3.654854671197983,5.397750460236736,3.546206928964314,0.7834666104346666
0,global,dPAM,0.253421014014392,0.4140082084167333,0.6984857359968111,0.7160426916724064,1.2872747672345688
0,global,dAGO,0.09479884317025417,0.2660390343255048,0.36404124399066057,0.4300469910003059,1.3650545995490257
0,global,dINT,0.8367958169608423,0.4844288098699822,0.6402009109973388,0.35425209992356665,0.6299888636241364
0,distal_control,dPAM,0.543888095275142,1.2469104996376184,1.847760019942843,1.5693233988688737,1.0142103263914661
0,distal_control,dAGO,-0.19389225925833317,0.4044017118338284,1.7420439929857607,1.8631818528267041,1.7360624111228624
0,distal_control,dINT,-0.15964710603211132,1.4153601089315004,2.029834681242629,2.6534484037098243,1.5403764171927774
1,ACh_pocket,dPAM,-0.5526105441216103,1.2922839967058535,0.6442945510568492,1.7335896937332935,1.7903634177256391
1,ACh_pocket,dAGO,0.8012563119138786,0.41222363304545095,0.8282975234571557,0.5557311293812399,0.8959639688016432
1,ACh_pocket,dINT,0.37053427699373565,1.5124183857266302,0.6821642579983925,1.4100297356754,1.2850094661115656
1,compound110_pocket,dPAM,0.29331811143783026,0.6900176475302252,1.545296726099276,1.4961773537066225,1.3386728697827546
1,compound110_pocket,dAGO,0.02181179777710024,1.1405895441564207,1.4129828754492302,1.7964297556086564,1.4069933884123638
1,compound110_pocket,dINT,0.14520805133907444,1.7087812771201272,2.7777327897149724,3.042574879880032,1.3563202230306797
1,ECV_anchor,dPAM,0.5211165231723057,2.5416609392999687,2.473995891878042,2.4550098585500466,0.9789385283655646
1,ECV_anchor,dAGO,-0.3451057786335276,2.5019307092693435,1.9545574352810298,3.6681333139308263,1.6461990674950684
1,ECV_anchor,dINT,0.16527372208549976,2.4952008424459233,4.392122386920622,4.679126165454347,1.3587647942827
1,W435_gate,dPAM,-0.6858475962959367,2.6804910084631297,1.7869641190373016,4.1168692230185275,1.8430489419697615
1,W435_gate,dAGO,-0.04620511038465334,1.871399216359918,5.886377246515668,6.258557428997387,1.6134925926126824
1,W435_gate,dINT,0.04875368629512302,3.1972559942985335,6.371981097442252,6.988425105808314,1.460602352896038
1,species_probe,dPAM,-0.8559729202035253,2.3560980481989096,2.7964412683675635,4.964953363475373,1.927186988175724
1,species_probe,dAGO,-0.6823548635157677,0.8919667451644219,5.468017830245613,6.111538992899553,1.9218722688507577
1,species_probe,dINT,-0.3141255315011348,2.494376275595941,6.097621806779033,7.277255978995614,1.6939612670360504
1,global,dPAM,0.14918638355123964,0.39830189374088826,0.7480750516148434,0.7933206276987678,1.38404846837284
1,global,dAGO,0.7704607358725567,0.21762968327928348,0.5440909480544066,0.40116904459016156,1.053323300138945
1,global,dINT,-0.15472491597115273,0.3077234913705976,0.6543708780649077,0.764988528500187,1.590256741548197
1,distal_control,dPAM,0.08731554129488177,0.7499724328679357,2.2310135258646024,2.2907831657438553,1.5369298597554315
1,distal_control,dAGO,0.8769862357526926,2.0669448421191077,2.916790991559195,1.4850927857473857,0.5959757239585856
1,distal_control,dINT,0.6263070951824808,2.015567706488387,4.120829256275732,3.2618661841405174,1.0631209825354002
2,ACh_pocket,dPAM,0.5616472603631212,2.3567041189522344,0.6497232057255939,2.0630559766618988,1.372430299397294
2,ACh_pocket,dAGO,0.5273644095128299,1.096917689147917,0.7244919916559222,0.94335335197711,1.0358497178523633
2,ACh_pocket,dINT,0.720069139873333,2.514446617438353,1.3380493805393023,1.8076336235354937,0.938422064284765
