window,ca_cross_replica_cosine,a_cross_replica_cosine,dpam_cross_replica_cosine,dpam_cross_replica_angle_deg,r2_dpam_norm,r3_dpam_norm,delta_ca_norm,delta_a_norm,delta_dpam_norm,delta_ca_a_cosine,ca_squared_contribution,a_squared_contribution,cross_term,predicted_delta_dpam_sq,observed_delta_dpam_sq,decomposition_residual,r2_differential_residual,r3_differential_residual
0,0.8955265635838795,0.8477660137706541,0.5027442827020748,59.818273023986656,0.8631590003196539,0.7702925460814632,0.45710707006101947,0.5517861819521775,0.8184496672676916,-0.3101293815249179,0.20894687349976976,0.3044679905933616,0.15644499286271205,0.6698598569558434,0.6698598578505952,8.947518281843259e-10,2.164978833093495e-08,1.8996191205444263e-08
1,0.9156906742444915,0.9181101018124251,0.7123093591511487,44.57687687747205,0.6561588708489592,0.720198150372398,0.4106320235444582,0.4046971481242545,0.5253624867019601,0.16967189129496446,0.16861865876021648,0.1637797816999048,-0.05639269574639201,0.27600574471372924,0.27600574243366716,2.2800620835816687e-09,1.538037366152244e-08,1.745663660435267e-08
2,0.8320238047945681,0.8683903826060877,-0.3536436387026662,110.71033901140255,0.5929054889595963,0.43286732849555704,0.5796140252255267,0.513048957447436,0.8487849603640113,-0.20389431945215733,0.33595241823813754,0.26321923273790093,0.12126425898894246,0.720435909964981,0.7204359089401362,1.0248447646077352e-09,1.3466992806170782e-08,9.744386431121296e-09
3,0.8861676679588302,0.6142016356881023,0.26204721813713366,74.80842843128485,0.38860099880510074,0.7794398636387577,0.47714217892098115,0.8784058150947543,0.7744634865543536,0.47655025870098133,0.2276646589054616,0.7715967759922797,-0.3994677440576662,0.5997936908400752,0.5997936920059255,1.1658503051847902e-09,7.427461024637853e-09,1.8906390093018865e-08
4,0.8820352093619184,0.7853577051419535,0.0854303699559855,85.09922672751769,0.6579731644390441,0.5472779608319995,0.4857258321845582,0.6551980816281732,0.819094553810783,-0.008958113328097308,0.23592958405138162,0.4292845261692383,0.005701778817363812,0.6709158890379837,0.6709158880824857,9.554980140435987e-10,1.6201813361807108e-08,1.2566241022886017e-08
