window,metric,cosine,angle_deg,l2_distance,norm_R2,norm_R3
0,dPAM,0.5027442833995225,59.818272977759015,0.8184496667210789,0.8631590002440054,0.7702925462371082
0,dAGO,0.5310153056030873,57.92591936591669,0.5983330020802701,0.6666079625102085,0.5513045488801864
0,dINT,0.6759586110733683,47.471363830529334,0.6939987136585495,0.9316320577580798,0.7311070595818043
1,dPAM,0.7123093575062336,44.5768770117523,0.5253624888719501,0.6561588726422083,0.7201981507916501
1,dAGO,-0.038464298508245814,92.20438576010471,0.7572081748248486,0.3905657369567117,0.6338595180152732
1,dINT,0.3625663459329825,68.74211199406759,1.1016623058035395,0.7701982086278537,1.1149715725932166
2,dPAM,-0.35364363945664135,110.71033905758655,0.8487849609677246,0.5929054889207558,0.4328673290369836
2,dAGO,0.2223789352019127,77.15120216408427,0.6250482920002823,0.44455798646898215,0.5492234398095855
2,dINT,0.3867067768892214,67.2502599955487,0.7569313140644105,0.6241980394433528,0.732896519545573
3,dPAM,0.2620472203903623,74.8084282975096,0.7744634858016719,0.38860099747089094,0.7794398641486708
3,dAGO,0.25813571592023027,75.04052916934123,0.8246132440523553,0.8200134021440926,0.44052233986300815
3,dINT,-0.42601938246377147,115.21520407047603,1.3721251061149988,0.7893536295230442,0.8353566686609815
4,dPAM,0.08543036998154291,85.09922672604799,0.8190945543940484,0.6579731643758614,0.5472779619022642
4,dAGO,-0.456788173983868,117.18004763934,0.9208928739911987,0.33527749302092785,0.7181056860390397
4,dINT,-0.39065506777899645,112.9952657704614,1.4880848551900516,0.7742818858996016,1.0038063332109621
