run_id,candidate_id,context,replicate_id,role,canonical_smiles,receptor_template,orthosteric_probe,allosteric_ligand,ligand_pose_source,production_ns_initial,extension_policy,paired_seed_group,status
PACER0076__candidate_probe__r1,PACER0076,candidate_probe,paired_seed_1,prospective_computational_hypothesis,Cc1cc2nncn2c2sc(C(=O)NC3CN(c4cncc(F)c4)C3)c(N)c12,7TRS,ACh,PACER0076,7TRS_common_pocket_pose_proposal,100,extend_to_500ns_if_endpoint_CI_or_state_ESS_fails_frozen_QC,1,not_started
PACER0076__candidate_probe__r2,PACER0076,candidate_probe,paired_seed_2,prospective_computational_hypothesis,Cc1cc2nncn2c2sc(C(=O)NC3CN(c4cncc(F)c4)C3)c(N)c12,7TRS,ACh,PACER0076,7TRS_common_pocket_pose_proposal,100,extend_to_500ns_if_endpoint_CI_or_state_ESS_fails_frozen_QC,2,not_started
PACER0076__candidate_probe__r3,PACER0076,candidate_probe,paired_seed_3,prospective_computational_hypothesis,Cc1cc2nncn2c2sc(C(=O)NC3CN(c4cncc(F)c4)C3)c(N)c12,7TRS,ACh,PACER0076,7TRS_common_pocket_pose_proposal,100,extend_to_500ns_if_endpoint_CI_or_state_ESS_fails_frozen_QC,3,not_started
PACER0076__candidate_no_probe__r1,PACER0076,candidate_no_probe,paired_seed_1,prospective_computational_hypothesis,Cc1cc2nncn2c2sc(C(=O)NC3CN(c4cncc(F)c4)C3)c(N)c12,7TRS,none,PACER0076,7TRS_common_pocket_pose_proposal,100,extend_to_500ns_if_endpoint_CI_or_state_ESS_fails_frozen_QC,1,not_started
PACER0076__candidate_no_probe__r2,PACER0076,candidate_no_probe,paired_seed_2,prospective_computational_hypothesis,Cc1cc2nncn2c2sc(C(=O)NC3CN(c4cncc(F)c4)C3)c(N)c12,7TRS,none,PACER0076,7TRS_common_pocket_pose_proposal,100,extend_to_500ns_if_endpoint_CI_or_state_ESS_fails_frozen_QC,2,not_started
PACER0076__candidate_no_probe__r3,PACER0076,candidate_no_probe,paired_seed_3,prospective_computational_hypothesis,Cc1cc2nncn2c2sc(C(=O)NC3CN(c4cncc(F)c4)C3)c(N)c12,7TRS,none,PACER0076,7TRS_common_pocket_pose_proposal,100,extend_to_500ns_if_endpoint_CI_or_state_ESS_fails_frozen_QC,3,not_started
PACER0057__candidate_probe__r1,PACER0057,candidate_probe,paired_seed_1,prospective_computational_hypothesis,Cc1c(Cl)c2nncn2c2sc(C(=O)NC3CN(C4(F)CCCC4)C3)c(N)c12,7TRS,ACh,PACER0057,7TRS_common_pocket_pose_proposal,100,extend_to_500ns_if_endpoint_CI_or_state_ESS_fails_frozen_QC,1,not_started
PACER0057__candidate_probe__r2,PACER0057,candidate_probe,paired_seed_2,prospective_computational_hypothesis,Cc1c(Cl)c2nncn2c2sc(C(=O)NC3CN(C4(F)CCCC4)C3)c(N)c12,7TRS,ACh,PACER0057,7TRS_common_pocket_pose_proposal,100,extend_to_500ns_if_endpoint_CI_or_state_ESS_fails_frozen_QC,2,not_started
PACER0057__candidate_probe__r3,PACER0057,candidate_probe,paired_seed_3,prospective_computational_hypothesis,Cc1c(Cl)c2nncn2c2sc(C(=O)NC3CN(C4(F)CCCC4)C3)c(N)c12,7TRS,ACh,PACER0057,7TRS_common_pocket_pose_proposal,100,extend_to_500ns_if_endpoint_CI_or_state_ESS_fails_frozen_QC,3,not_started
PACER0057__candidate_no_probe__r1,PACER0057,candidate_no_probe,paired_seed_1,prospective_computational_hypothesis,Cc1c(Cl)c2nncn2c2sc(C(=O)NC3CN(C4(F)CCCC4)C3)c(N)c12,7TRS,none,PACER0057,7TRS_common_pocket_pose_proposal,100,extend_to_500ns_if_endpoint_CI_or_state_ESS_fails_frozen_QC,1,not_started
PACER0057__candidate_no_probe__r2,PACER0057,candidate_no_probe,paired_seed_2,prospective_computational_hypothesis,Cc1c(Cl)c2nncn2c2sc(C(=O)NC3CN(C4(F)CCCC4)C3)c(N)c12,7TRS,none,PACER0057,7TRS_common_pocket_pose_proposal,100,extend_to_500ns_if_endpoint_CI_or_state_ESS_fails_frozen_QC,2,not_started
PACER0057__candidate_no_probe__r3,PACER0057,candidate_no_probe,paired_seed_3,prospective_computational_hypothesis,Cc1c(Cl)c2nncn2c2sc(C(=O)NC3CN(C4(F)CCCC4)C3)c(N)c12,7TRS,none,PACER0057,7TRS_common_pocket_pose_proposal,100,extend_to_500ns_if_endpoint_CI_or_state_ESS_fails_frozen_QC,3,not_started
